"NMDS1","NMDS2","species"
0.287849351348013,-0.319404800555471,"alewife"
-0.955304555949837,0.00795384180555461,"atlantic herring"
0.372055716848857,0.464483708889077,"atlantic silverside"
-0.414189312314325,-0.603500267712756,"atlantic tomcod"
-0.342475307621484,-0.303205795436311,"bluefish"
0.089643128073438,-0.453414994656334,"green crab"
0.171760683773665,-0.314126136417011,"mummichog"
0.371426492217721,-1.10824225442496,"northern pipefish"
-0.404422621476028,-0.0894966430532056,"sandlance"
0.140705729659037,-0.148471548013055,"winter flounder"
