"NMDS1","NMDS2","species"
0.54864621469849,0.0373735428040873,"alewife"
-1.26018313800361,1.72100751312982,"atlantic herring"
0.0559233498991548,0.396031718302101,"green crab"
-0.816985345194127,-1.7010880991467,"sandlance"
-0.192851504238091,0.253534452346113,"winter flounder"
1.28568691425559,0.19334813779572,"atlantic silverside"
-0.993897823453127,0.0206665873889917,"atlantic tomcod"
1.04512104510388,0.128398877792426,"bluefish"
1.11330672402693,-0.098170368504867,"mummichog"
-0.259813482123993,0.0693125026297636,"northern pipefish"
