"","NMDS1","NMDS2","species","prod"
"atlantic herring",-0.87165054372468,0.804493757361783,"atlantic herring",-0.701237421027509
"atlantic silverside",-0.209116525230895,-0.464018292416803,"atlantic silverside",0.0970338929537752
"atlantic tomcod",-0.0419394760614315,0.409211113856146,"atlantic tomcod",-0.0171620997136416
"green crab",0.189132154259669,-0.0430963562243659,"green crab",-0.00815090669345642
"mummichog",0.159767911989204,-0.151323742948917,"mummichog",-0.0241766784453396
"northern pipefish",0.590640968537579,-0.235772053887549,"northern pipefish",-0.139256634262236
"river herring",0.228937046883157,-0.312426532527564,"river herring",-0.071526007724805
"sandlance",-0.454570285161857,0.348790154498103,"sandlance",-0.158549639991851
"winter flounder",0.0840020159452232,-0.145951759799957,"winter flounder",-0.0122602420539494
