"","NMDS1","NMDS2","year","cluster"
"1",-0.865090969044587,0.871524029860417,2014,"B"
"2",0.184410095966747,-0.244299460614164,2015,"C"
"3",-0.367649147514031,-0.358766442249491,2016,"C"
"4",-0.399971538519938,0.630204102358653,2017,"B"
"5",-0.224374223822502,-0.42259454475285,2018,"C"
"6",-0.611682359367743,-0.569065641108491,2020,"C"
"7",-0.0924709807301117,0.15473484676083,2021,"C"
"8",-0.154806582664991,0.0897500988678059,2022,"C"
"9",0.235744033669295,-0.601867964960556,2023,"C"
"10",0.317373472757088,0.147333424449948,2024,"C"
"11",1.97851819927077,0.303047551387896,2025,"A"
