"NMDS1","NMDS2","year","cluster"
-1.0786586978975,0.234630563631726,2014,"herring"
0.32376335207812,-0.244174134605526,2015,"silverside"
0.240654323888307,0.326602831045548,2016,"silverside"
-0.704294845417557,-0.143989659347771,2017,"herring"
0.337575254680012,0.244211953964867,2018,"silverside"
0.343631983361567,0.622796602493151,2020,"silverside"
-0.155540367993112,-0.165905258571718,2021,"silverside"
-0.00691154179291378,-0.13334033205612,2022,"silverside"
0.659009634676901,-0.227814110777305,2023,"silverside"
0.0407709044161794,-0.513018455776852,2024,"silverside"
