SITE,SAMPLE,LATITUDE,LONGITUDE,DEPTH_M,C_CODE,LITHOLOGY,GRAVEL,SAND,SILT,CLAY,MUD,MEAN_PHI,STD DEV,BAY,
1708,SS8,43.06233333,-70.70233333,,sG,SANDY GRAVEL,67,33,,,0,-2.4,2.82,,
1709,SS9,43.0685,-70.71133333,,S,SAND,1,97,,,2,1.15,0.83,,
1710,SS10,43.07116667,-70.706,,sG,SANDY GRAVEL,53,47,,,0,-1.6,2.75,WELLS BAY,
1711,SS11,43.073,-70.70116667,,S,SAND,1,97,,,2,2.88,0.27,WELLS BAY,
1712,SS12,43.07466667,-70.713,,sG,SANDY GRAVEL,42,57,,,1,-0.7,2.53,WELLS BAY,
1713,SS13,43.07733333,-70.71133333,,sG,SANDY GRAVEL,39,60,,,1,-0.8,2.91,WELLS BAY,
1714,SS14,43.07966667,-70.71066667,,gmS,GRAVELLY MUDDY SAND,6,78,,,16,3.2,1.64,WELLS BAY,
1715,SS15,43.07458333,-70.72222222,,mS,MUDDY SAND,0,53,31,16,47,4.97,2.3,,
1716,SS16,43.07533333,-70.72416667,,sG,SANDY GRAVEL,50,49,,,1,-1.4,2.5,,
1717,SS17,43.07555556,-70.72472222,,G,GRAVEL,85,14,,,1,-3.5,2.07,,
1718,SS18,43.073,-70.732,,gS,GRAVELLY SAND,28,67,,,5,0.13,1.87,,
1719,SS19,43.07433333,-70.732,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1720,SS21,43.076,-70.726,,mS,MUDDY SAND,0,60,25,15,40,4.68,2.58,,
1721,SS22,43.07716667,-70.7435,,sG,SANDY GRAVEL,73,27,,,0,-2.3,2.19,,
1722,SS23,43.07883333,-70.74316667,,sG,SANDY GRAVEL,37,63,,,0,-0.1,2.05,,
1723,SS24,43.07983333,-70.7575,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1724,SS25,43.0805,-70.75666667,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1725,SS26,43.08133333,-70.75583333,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1726,SS27,43.08633333,-70.76566667,,mS,MUDDY SAND,0,77,21,1,23,3.53,1.65,,
1727,SS28,43.08733333,-70.7635,,sG,SANDY GRAVEL,73,27,,,0,-2.4,1.96,,
1728,SS29,43.0885,-70.76216667,,G,GRAVEL,87,12,,,1,-3.6,1.78,,
1729,SS30,43.0935,-70.77066667,,G,GRAVEL,87,13,,,0,,,,
1730,SS31,43.09433333,-70.76691667,,G,GRAVEL,87,13,,,0,-3.9,1.75,,
1731,SS32,43.09516667,-70.76783333,,sG,SANDY GRAVEL,56,43,,,1,-0.9,2.29,,
1732,SS33,43.09633333,-70.783,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1733,SS34,43.0965,-70.78133333,,sG,SANDY GRAVEL,37,63,,,0,-1,1.83,,
1734,SS35,43.09683333,-70.78066667,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1735,SS36,43.098,-70.78133333,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1736,SS37,43.10033333,-70.78716667,,sG,SANDY GRAVEL,65,33,,,2,-1.4,2.25,,
1737,SS38,43.1015,-70.78533333,,G,GRAVEL,98,2,,,0,-4.9,0.57,,
1738,SS39,43.1035,-70.78433333,,mS,MUDDY SAND,5,85,9,1,10,2.15,1.37,,
1739,SS40,43.09033333,-70.76233333,,sG,SANDY GRAVEL,68,30,,,2,-0.7,2.41,,
1740,SS50,43.08097222,-70.69566667,,sM,SANDY MUD,0,35,46,19,65,5.55,2.78,,
1741,SS51,43.08105556,-70.69247222,,sM,SANDY MUD,0,33,49,18,67,5.43,2.31,,
1742,SS52,43.08388889,-70.69255556,,sG,SANDY GRAVEL,59,38,,,3,-1.8,2.61,,
1743,SS53,43.08286111,-70.69816667,,M,MUD,0,9,74,17,91,6.47,1.96,,
1744,SS54,43.07736111,-70.69511111,,mS,MUDDY SAND,1,84,9,6,15,3,1.47,,
1745,SS55,43.07591667,-70.69847222,,S,SAND,0,97,1,2,3,2.95,0.25,,
1746,SS56,43.07455556,-70.70047222,,S,SAND,0,98,,,2,2.92,0.2,,
1747,SS57,43.07786111,-70.70416667,,gmS,GRAVELLY MUDDY SAND,27,45,,,28,1.9,4.01,,
1748,SS58,43.079,-70.70063889,,gmS,GRAVELLY MUDDY SAND,0,19,49,32,81,6.95,3.33,,
1749,SS59,43.08069444,-70.70516667,,sM,SANDY MUD,0,28,54,18,72,5.55,2.23,,
1750,SS60,43.07858333,-70.70913889,,gS,GRAVELLY SAND,26,71,,,3,0.6,2.01,,
1751,SS61,43.07813889,-70.72472222,,sM,SANDY MUD,0,49,36,15,51,5.03,2.45,,
1752,SS62,43.07938889,-70.72055556,,sG,SANDY GRAVEL,31,64,,,5,0.37,2.16,,
1753,SS63,43.08138889,-70.72291667,,sG,SANDY GRAVEL,32,65,,,3,-0.1,1.73,,
1754,SS64,43.08408333,-70.72802778,,gmS,GRAVELLY MUDDY SAND,6,84,,,10,2.67,1.79,,
1755,SS65,43.08461111,-70.73477778,,G,GRAVEL,90,10,,,0,-4.4,1.43,,
1756,SS66,43.08455556,-70.72736111,,sM,SANDY MUD,0,45,40,15,55,5.07,2.4,,
1757,SS67,43.08341667,-70.72386111,,gM,GRAVELLY MUD,9,21,,,70,5.73,3.36,,
1758,SS68,43.07258333,-70.71411111,,sG,SANDY GRAVEL,56,39,,,5,-1,2.74,,
1759,SS69,43.0725,-70.72169444,,sM,SANDY MUD,0,40,39,21,60,5.65,2.77,,
1760,SS70,43.07280556,-70.72197222,,mS,MUDDY SAND,0,53,40,7,47,4.82,2.26,,
1761,SS71,43.08405556,-70.74347222,,gS,GRAVELLY SAND,29,66,,,5,-0.2,1.75,,
1762,SS72,43.08316667,-70.74836111,,G,GRAVEL,92,6,,,2,-4,1.57,,
1763,SS73,43.08352778,-70.74694444,,G,GRAVEL,92,6,,,2,-3.2,1.28,,
1764,SS74,43.08305556,-70.74611111,,gmS,GRAVELLY MUDDY SAND,19,56,,,25,2.18,3.39,,
1765,SS75,43.08044444,-70.74913889,,sG,SANDY GRAVEL,46,53,,,1,-0.5,2.23,,
1766,SS76,43.08447222,-70.76130556,,sG,SANDY GRAVEL,77,22,,,1,-3,2.17,,
1767,SS77,43.08494444,-70.75980556,,sG,SANDY GRAVEL,76,24,,,0,-3.1,2.2,,
1768,SS78,43.08444444,-70.75658333,,mgS,MUDDY GRAVELLY SAND,31,61,,,8,0.28,2.58,,
1769,SS79,43.08681,-70.759424,,mS,MUDDY SAND,1,87,7,15,12,2.2,1.64,,
1770,SS80,43.08758333,-70.76363889,,sG,SANDY GRAVEL,58,42,,,0,-1.8,2.54,,
1771,SS81,43.08927778,-70.76330556,,sG,SANDY GRAVEL,72,28,,,0,-1.9,2.17,,
1772,SS82,43.08991667,-70.76172222,,G,GRAVEL,83,16,,,1,-3.2,2.01,,
1773,SS83,43.09047222,-70.76027778,,gmS,GRAVELLY MUDDY SAND,12,68,,,20,2.5,2.93,,
1774,SS91,43.08583333,-70.76027778,,sG,SANDY GRAVEL,80,20,,,0,-2.5,1.67,,
1775,SS92,43.08416667,-70.76111111,,sG,SANDY GRAVEL,64,36,,,0,-1.8,2.12,,
1776,SS93,43.08416667,-70.759,,gS,GRAVELLY SAND,15,83,,,2,1.4,1.78,,
1777,SS94,43.08319444,-70.75111111,,sG,SANDY GRAVEL,73,25,,,2,-2.4,2.25,,
1778,SS95,43.07694444,-70.75041667,,sM,SANDY MUD,1,39,39,21,60,5.62,3.28,,
1779,SS110,43.06986111,-70.73863889,,gmS,GRAVELLY MUDDY SAND,11,49,28,12,40,3.83,3.49,,
1780,SS111,43.06808333,-70.74183333,,mS,MUDDY SAND,0,65,20,15,35,4.62,2.61,,
1781,SS112,43.06866667,-70.73530556,,sM,SANDY MUD,0,13,55,32,87,6.78,2.76,,
1782,SS113,43.06877778,-70.73269444,,M,MUD,0,7,60,33,93,6.94,2.51,,
1783,SS114,43.06738889,-70.73519444,,sM,SANDY MUD,0,15,70,15,85,5.99,2.09,,
1784,SS115,43.06630556,-70.73788889,,sM,SANDY MUD,0,28,44,28,72,5.98,2.57,,
1785,SS116,43.06625,-70.73969444,,gM,GRAVELLY MUD,16,29,32,23,55,4.2,4.45,,
1786,SS117,43.06305556,-70.73733333,,S,SAND,0,98,,,2,1.77,0.27,,
1787,SS118,43.06280556,-70.73716667,,gS,GRAVELLY SAND,10,83,4,3,7,2.27,1.75,,
1788,SS119,43.06027778,-70.73602778,,S,SAND,0,98,,,2,1.43,0.88,,
1789,SS120,43.05966667,-70.73591667,,S,SAND,2,92,,,5,1.88,0.81,,
1790,SS121,43.06027778,-70.73333333,,gmS,GRAVELLY MUDDY SAND,29,63,5,3,8,0.37,2.74,,
1791,SS122,43.05633333,-70.72366667,,S,SAND,1,95,,,4,2.17,0.79,,
1792,SS123,43.05475,-70.72394444,,sM,SANDY MUD,0,45,38,17,55,5.23,2.68,,
1793,SS124,43.05344444,-70.72763889,,gmS,GRAVELLY MUDDY SAND,20,62,12,6,18,1.23,3.79,,
1794,SS125,43.05630556,-70.71822222,,sG,SANDY GRAVEL,66,30,1,3,4,-2.1,2.95,,
1795,SS126,43.05611111,-70.71880556,,S,SAND,3,95,,,2,1.13,0.9,,
1796,SS127,43.05419444,-70.71958333,,sM,SANDY MUD,0,24,54,22,76,5.95,2.74,,
1797,SS128,43.0535,-70.716,,sG,SANDY GRAVEL,77,22,,,1,-3.1,2.53,,
1798,SS129,43.05258333,-70.71633333,,sG,SANDY GRAVEL,67,31,,,2,-2.2,2.3,,
1799,SS130,43.05786111,-70.69538889,,gS,GRAVELLY SAND,29,64,,,7,0.78,2.68,,
1800,SS131,43.05769444,-70.68941667,,gS,GRAVELLY SAND,15,83,,,2,1.07,1.69,,
1801,SS132,43.05519444,-70.69169444,,G,GRAVEL,83,15,,,2,-3.1,1.76,,
1802,SS133,43.05438889,-70.685,,G,GRAVEL,89,10,,,1,-3.5,1.48,,
1803,SS134,43.05905556,-70.68233333,,sG,SANDY GRAVEL,76,22,,,2,-2.4,2.27,,
1804,SS135,43.06188889,-70.68141667,,sG,SANDY GRAVEL,75,23,,,2,-2.6,3.02,,
1805,SS136,43.06541667,-70.705,,S,SAND,0,99,,,1,1.58,0.45,,
1806,SS137,43.06772222,-70.70311111,,gS,GRAVELLY SAND,13,86,,,1,0.58,1.22,,
1807,SS138,43.0675,-70.69925,,sG,SANDY GRAVEL,59,38,3,1,3,-1.6,3.23,,
1808,SS139,43.06741667,-70.69752778,,S,SAND,0,97,,,3,3.08,0.36,,
1809,SS140,43.06886111,-70.69744444,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1810,SS141,43.06908333,-70.69905556,,mS,MUDDY SAND,0,87,4,9,13,3.23,1.68,,
1811,SS142,43.07380556,-70.70519444,,gS,GRAVELLY SAND,26,73,,,1,0.3,2.3,,
1812,SS143,43.07355556,-70.70708333,,sG,SANDY GRAVEL,66,33,,,1,-2.8,2.62,,
1813,SS144,43.07652778,-70.70619444,,gS,GRAVELLY SAND,16,80,,,4,1.05,1.9,,
1814,SS145,43.07536111,-70.70969444,,sG,SANDY GRAVEL,76,23,,,1,-2.8,2.72,,
1815,SS146,43.07688889,-70.71422222,,G,GRAVEL,91,6,,,3,-3.9,1.43,,
1816,SS147,43.07563889,-70.71541667,,sG,SANDY GRAVEL,67,32,,,1,-2.4,2.74,,
1817,SS148,43.07483333,-70.71908333,,sG,SANDY GRAVEL,47,50,,,3,-1.4,2.66,,
1818,SS149,43.07622222,-70.71930556,,sG,SANDY GRAVEL,32,67,,,1,-0.6,2.49,,
1819,SS150,43.08263889,-70.72491667,,sG,SANDY GRAVEL,78,19,,,3,-2.5,2.39,,
1820,SS151,43.08394444,-70.73016667,,S,SAND,3,92,,,5,2,0.99,,
1821,SS152,43.07363889,-70.71894444,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1822,SS 170,43.0785,-70.72483333,,gmS,GRAVELLY MUDDY SAND,20,50,,,30,2.45,4.2,,
1823,SS 171,43.07633333,-70.72883333,,gmS,GRAVELLY MUDDY SAND,6,71,14,9,23,1.92,2.25,,
1824,SS200,43.07758333,-70.70811111,,sG,SANDY GRAVEL,38,59,,,3,0.48,2.55,,
1825,SS201,43.0785,-70.70355556,,sM,SANDY MUD,0,49,32,19,51,5.51,2.87,,
1826,SS202,43.08125,-70.70066667,,sM,SANDY MUD,1,40,46,14,59,4.97,2.27,,
1827,SS203,43.075,-70.71066667,,S,SAND,3,96,,,1,1.17,0.77,,
1828,SS204,43.083,-70.72458333,,mS,MUDDY SAND,0,78,13,9,22,3.6,2.01,,
1829,SS205,43.08388889,-70.72725,,mS,MUDDY SAND,2,61,23,15,37,4.4,2.9,,
1830,SS206,43.08419444,-70.72744444,,mS,MUDDY SAND,1,60,30,9,39,4.53,2.24,,
1831,SS207,43.08283333,-70.72816667,,sM,SANDY MUD,0,33,45,22,67,5.67,2.5,,
1832,SS208,43.08272222,-70.73102778,,sM,SANDY MUD,0,28,41,31,72,6.67,3.34,,
1833,SS209,43.08286111,-70.72988889,,gsM,GRAVELLY SANDY MUD,14,32,,,54,4.82,4.07,,
1834,SS210,43.082,-70.72558333,,sM,SANDY MUD,0,46,31,23,54,5.63,3.24,,
1835,SS211,43.07522222,-70.71961111,,sG,SANDY GRAVEL,74,25,,,1,-2.9,2.52,,
1836,SS212,43.07872222,-70.73886111,,sM,SANDY MUD,0,38,35,28,62,6.17,3.37,,
1837,SS213,43.07833333,-70.74027778,,sG,SANDY GRAVEL,74,24,,,2,-2.7,2.5,,
1838,SS214,43.07958333,-70.74188889,,msG,MUDDY SANDY GRAVEL,33,37,,,30,1.97,5.41,,
1839,SS215,43.08061111,-70.74394444,,sM,SANDY MUD,0,35,35,30,65,6.33,3.44,,
1840,SS216,43.08077778,-70.74347222,,sM,SANDY MUD,2,33,40,25,65,5.73,3.11,,
1841,SS217,43.07219444,-70.73111111,,gmS,GRAVELLY MUDDY SAND,10,72,,,18,2.77,2.92,,
1842,SS218,43.0725,-70.73752778,,sG,SANDY GRAVEL,51,49,,,0,-1,2.47,,
1843,SS219,43.07191667,-70.73686111,,sG,SANDY GRAVEL,50,48,,,2,-1.2,2.49,,
1844,SS220,43.07211111,-70.73941667,,G,GRAVEL,84,16,,,0,-3.7,2.15,,
1845,SS221,43.07166667,-70.73722222,,G,GRAVEL,83,17,,,0,-2.7,2,,
1846,SS222,43.07366667,-70.73752778,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1847,SS223,43.07630556,-70.70397222,,msG,MUDDY SANDY GRAVEL,47,47,,,6,-0.2,2.74,,
1848,SS224,43.07569444,-70.705,,sG,SANDY GRAVEL,34,66,,,0,-0.2,2.51,,
1849,SS225,43.07252778,-70.70755556,,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1850,SS226,43.07361111,-70.70222222,,gS,GRAVELLY SAND,16,79,,,5,1.63,2.35,,
1851,SS227,43.07394444,-70.70311111,,gS,GRAVELLY SAND,10,86,,,4,1.78,1.68,,
1852,SS228,43.07338889,-70.70441667,,sG,SANDY GRAVEL,55,44,,,1,-1.8,2.78,,
1853,SS229,43.07327778,-70.70547222,,gS,GRAVELLY SAND,24,76,,,0,0.27,1.89,,
1854,SS 250,43.08819444,-70.75680556,,sM,SANDY MUD,2,13,57,28,85,6.4,2.61,,
1855,SS251,43.08763889,-70.75880556,,sM,SANDY MUD,1,44,39,16,55,5.13,2.26,,
1856,SS252,43.08594444,-70.74125,,mS,MUDDY SAND,4,57,29,10,39,4.6,2.6,,
1857,SS253,43.08516667,-70.7395,,G,GRAVEL,,,,,,,,,
1858,SS254,43.08516667,-70.7395,,G,GRAVEL,83,15,,,2,-2.5,1.48,,
1859,SS255,43.10725,-70.7298333,,sM,SANDY MUD,0,16,54,30,84,6.83,3.18,,
1860,SS256,43.10230556,-70.72622222,,M,MUD,0,7,56,37,93,7.57,3.15,,
1861,SS257,43.10183333,-70.72966667,,sM,SANDY MUD,0,20,50,30,80,6.33,2.54,,
1862,SS258,43.0985,-70.72983333,,sM,SANDY MUD,3,15,66,17,82,6.32,2.1,,
1863,SS259,43.09669444,-70.72319444,,sM,SANDY MUD,2,36,44,18,62,5.37,2.41,,
1864,SS260,43.09625,-70.71880556,,sM,SANDY MUD,0,31,42,27,69,6.33,3.23,,
1865,SS261,43.09233333,-70.72116667,,sM,SANDY MUD,2,42,35,21,56,5.37,2.28,,
1866,SS262,43.09094444,-70.71902778,,mS,MUDDY SAND,0,74,15,11,26,3.97,2.25,,
1867,SS263,43.09025,-70.71713889,,sM,SANDY MUD,1,21,74,4,78,5.7,1.74,,
1868,SS264,43.08866667,-70.7255,,M,MUD,0,9,57,34,91,7.23,3.16,,
1869,SS265,43.08680556,-70.71905556,,sG,SANDY GRAVEL,44,50,,,6,-0.4,2.59,,
1870,SS266,43.08525,-70.71577778,,sM,SANDY MUD,0,20,50,30,80,6.8,3.19,,
1871,SS267,43.08636111,-70.73647222,,sM,SANDY MUD,2,29,45,24,69,5.67,2.52,,
1872,PH-1,43.07847222,-70.69633333,,mS,MUDDY SAND,0,85,10,5,15,3.33,1.28,,
1873,PH-2,43.07188889,-70.71113889,,sM,SANDY MUD,0,25,46,29,75,6.6,3.22,,
1874,PH-3,43.07930556,-70.72277778,,sM,SANDY MUD,0,48,34,18,52,5.5,2.86,,
1875,PH-4,43.07811111,-70.72413889,,M,MUD,0,7,51,42,93,7.77,3.1,,
1876,PH-5,43.07930556,-70.72461111,,sM,SANDY MUD,0,12,45,43,88,7.83,3.27,,
1877,PH-6,43.07722222,-70.72638889,,M,MUD,0,6,52,42,94,7.9,3.11,,
1878,PH-7,43.07894444,-70.72625,,M,MUD,0,7,50,43,93,7.83,3.22,,
1879,PH-8,43.07777778,-70.72727778,,M,MUD,0,7,52,41,93,7.73,3.13,,
1880,PH-9,43.07611111,-70.72819444,,gmS,GRAVELLY MUDDY SAND,8,52,,,40,4.5,3.95,,
1881,PH-10,43.07875,-70.73811111,,sM,SANDY MUD,0,29,37,34,71,6.73,3.52,,
1882,PH-11,43.06819444,-70.74152778,,mS,MUDDY SAND,0,66,20,14,34,4.37,2.62,,
1883,PH-12,43.08069444,-70.74361111,,mS,MUDDY SAND,0,73,17,10,27,3.8,2.29,,
1884,PH-13,43.08230556,-70.74505556,,sM,SANDY MUD,0,32,38,30,68,6.27,3.27,,
1885,PH-14,43.07602778,-70.744,,mS,MUDDY SAND,0,81,12,7,19,3.2,1.97,,
1886,PH-15,43.08558333,-70.76402778,,sM,SANDY MUD,0,41,35,24,59,5.63,3.12,,
1887,PH-16,43.08677778,-70.75916667,,mS,MUDDY SAND,0,86,8,6,14,3.1,1.41,,
1888,PH-17,43.08266667,-70.74708333,,mS,MUDDY SAND,0,53,30,17,47,5.03,2.88,,
1889,PH-18,43.08466667,-70.73561111,,gmS,GRAVELLY MUDDY SAND,15,48,,,37,3.17,4.11,,
1890,PH-19,43.08205556,-70.72472222,,sM,SANDY MUD,0,33,45,22,67,6,3.13,,
1891,PH-20,43.08622222,-70.717,,gmS,GRAVELLY MUDDY SAND,8,64,,,28,3.67,2.76,,
1892,PH-21,43.09125,-70.72055556,,mS,MUDDY SAND,0,58,30,12,42,4.63,2.31,,
1893,PH-3A,43.07933333,-70.72533333,,sM,SANDY MUD,1,15,66,18,19,6.47,2.57,,
1894,PH-7A,43.07916667,-70.7275,,sM,SANDY MUD,4,21,58,17,75,5.87,3.03,,
1895,51,43.08080556,-70.69319444,,sM,SANDY MUD,0,39,40,21,61,5.6,3.05,,
1896,101,43.08361111,-70.69741667,,M,MUD,1,6,57,36,99,6.9,2.57,,
1897,NHPA 2,43.08494444,-70.76633333,,M,MUD,0,8,61,31,92,7.13,3.06,,
1898,NHPA 3,43.08152778,-70.76402778,,sM,SANDY MUD,3,27,38,32,70,6.13,3.01,,
1899,NHPA 4,43.08555556,-70.76447222,,sM,SANDY MUD,0,36,36,28,64,6.13,3.3,,
1900,NHPA 5,43.08577778,-70.76516667,,mS,MUDDY SAND,0,64,25,11,36,4.23,2.07,,
1901,NHPA 6,43.08577778,-70.76516667,,mS,MUDDY SAND,0,58,28,14,42,4.67,2.43,,
1902,NHPA 16,43.08333333,-70.76572222,,sM,SANDY MUD,0,10,56,34,90,7.08,2.76,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
