SITE,SAMPLE,LATITUDE,LONGITUDE,DEPTH_M,C_CODE,LITHOLOGY,GRAVEL,SAND,SILT,CLAY,MUD,MEAN_PHI,STD DEV,BAY,
1464,NHS-130A,42.9185,-70.76416667,24,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1465,NHS-130B,42.91816667,-70.7655,23,HB,HARD BOTTOM (NO SAMPLE RECOVERED),,,,,,,,,
1466,NHS-131,42.91883333,-70.77716667,21,S,SAND,0,97,2,1,3,,,,
1467,NHS-132A,42.929,-70.78733333,10,S,SAND,0,95,,,5,,,,
1468,NHS-132B,42.92966667,-70.7865,9,S,SAND,0,98,1,1,2,,,,
1469,NHS-133A,42.9115,-70.7845,17,S,SAND,0,95,,,5,,,,
1470,NHS-133B,42.9115,-70.7845,17,sG,SANDY GRAVEL,63,35,,,2,,,,
1471,NHS-134,42.91183333,-70.79766667,7,S,SAND,0,99,0.5,0.5,1,,,,
1472,NHS-135,42.9005,-70.8005,9,sG,SANDY GRAVEL,48,52,,,0,,,,
1473,NHS-136A,42.90466667,-70.79033333,12,S,SAND,0,98,,,2,,,,
1474,NHS-136B,42.90516667,-70.78983333,12,S,SAND,0,98,1,1,2,,,,
1475,MMS-1,42.99483333,-70.63233333,19,msG,MUDDY SANDY GRAVEL,31,54,8,7,15,0.1,4.15,,
1476,MMS-2,42.9905,-70.62766667,23,S,SAND,2,95,,,3,1.43,0.77,,
1477,MMS-3,42.987,-70.63216667,24,S,SAND,2,96,,,2,1.07,0.56,,
1478,MMS-4,42.99183333,-70.63766667,15,S,SAND,1,98,,,1,1.05,0.48,,
1479,MMS-5,42.988,-70.63883333,20,S,SAND,1,98,,,1,0.97,0.63,,
1480,MMS-6,42.99216667,-70.6425,20,gS,GRAVELLY SAND,12,87,,,1,0.58,1.12,,
1481,MMS-7,42.98783333,-70.646,20,gS,GRAVELLY SAND,22,77,,,1,-0.1,1.51,,
1482,MMS-8,42.99216667,-70.649,23,sG,SANDY GRAVEL,44,55,,,1,-0.6,2.07,,
1483,MMS-9,42.98433333,-70.64883333,24,S,SAND,2,96,,,2,1.5,0.63,,
1484,MMS-10,42.98916667,-70.6525,24,gS,GRAVELLY SAND,16,81,,,3,0.92,1.7,,
1485,MMS-11,42.99366667,-70.65633333,26,gS,GRAVELLY SAND,28,69,,,3,0.25,2.1,,
1486,MMS-12,42.989,-70.65933333,28,S,SAND,5,88,3,4,7,2.15,1.26,,
1487,MMS-13,42.98516667,-70.65516667,23,S,SAND,3,95,,,2,1.12,0.85,,
1488,MMS-14,42.98183333,-70.6595,26,S,SAND,0,98,,,2,1.58,0.73,,
1489,MMS-15,42.986,-70.66283333,30,mS,MUDDY SAND,3,82,9,6,15,2.93,1.52,,
1490,MMS-16,42.98183333,-70.6665,27,S,SAND,1,95,,,4,2.33,0.68,,
1492,MMS-18,42.99,-70.666,24,S,SAND,1,97,,,2,1.83,0.77,,
1494,MMS-20,42.99666667,-70.65916667,26,sG,SANDY GRAVEL,50,49,,,1,-0.8,2.25,,
1496,MMS-22,42.996,-70.64516667,27,gS,GRAVELLY SAND,27,70,,,3,-0.2,2.24,,
1499,MMS-26,42.98383333,-70.62883333,,sG,SANDY GRAVEL,39,60,,,1,-0.1,2.49,,
1501,MMS-28,42.985,-70.64266667,,S,SAND,3,95,,,2,1.22,0.55,,
1503,MMS-30,42.98166667,-70.65316667,,gS,GRAVELLY SAND,14,86,,,0,1.23,1.33,,
1505,MMS-32,42.92966667,-70.773,25,S,SAND,0,97,,,3,2.1,0.8,,
1507,MMS-34,42.92916667,-70.76583333,,S,SAND,0,99,,,0,2.2,0.65,,
1509,MMS-36,42.93233333,-70.75566667,25,S,SAND,1,95,,,4,2.67,0.7,,
1511,MMS-38,42.93983333,-70.7495,25,sG,SANDY GRAVEL,69,31,,,0,-1.8,1.69,,
1513,MMS-40,42.94766667,-70.75033333,25,mS,MUDDY SAND,1,88,7,4,11,2.9,1.07,,
1515,MMS-42A,42.979,-70.7195,24,gS,GRAVELLY SAND,22,75,,,3,0.43,1.86,,
1516,MMS-42B,42.97916667,-70.71966667,24,gS,GRAVELLY SAND,8,91,,,1,1.55,1.45,,
1518,MMS-44,42.988,-70.70133333,24,sG,SANDY GRAVEL,43,56,,,1,-0.3,2.37,,
1520,MMS-46A,42.98416667,-70.69266667,25,G,GRAVEL,99,1,,,0,,,,
1521,MMS-46B,42.98033333,-70.68933333,27,gS,GRAVELLY SAND,26,72,,,2,0.7,2.01,,
1522,MMS-48,43.037,-70.6625,24,G,GRAVEL,83,17,,,0,-2.7,1.82,WELLS BAY,
1524,MMS-50,43.03933333,-70.67733333,23,gS,GRAVELLY SAND,22,77,,,1,0.3,2.54,,
1525,TM-1,43.04666667,-70.69833333,12,gS,GRAVELLY SAND,7,92,,,1,1.2,1.21,,
1526,TM-2,43.04666667,-70.69,14,gS,GRAVELLY SAND,17,82,,,1,1.1,1.82,,
1527,TM-3,43.03833333,-70.685,24,sG,SANDY GRAVEL,42,57,,,1,-0.5,2.36,WELLS BAY,
1528,TM-4,43.03166667,-70.69666667,27,sG,SANDY GRAVEL,64,35,,,1,-1.5,2.32,WELLS BAY,
1529,TM-5,43.02666667,-70.63,32,sG,SANDY GRAVEL,70,29,,,1,-1.5,1.5,WELLS BAY,
1530,TM-6,43.02166667,-70.605,36,sG,SANDY GRAVEL,59,39,,,2,-1.5,2.61,WELLS BAY,
1531,TM-8,42.99333333,-70.62666667,17,gS,GRAVELLY SAND,7,90,2,0,3,2.1,1.31,,
1532,TM-9,43.00833333,-70.645,24,gmS,GRAVELLY MUDDY SAND,28,64,3,5,8,0.3,2.57,,
1533,TM-10,43.01833333,-70.65333333,22,sG,SANDY GRAVEL,42,57,,,1,-0.5,1.9,,
1534,TM-11,43.03,-70.67666667,17,gS,GRAVELLY SAND,11,88,,,1,0.2,1.08,,
1535,TM-12,43.04166667,-70.69166667,14,S,SAND,0,99,0,1,1,3,0.34,,
1536,TM-13,43.04,-70.69666667,14,S,SAND,0,99,1,1,1,3,0.36,,
1537,TM-14,43.025,-70.68833333,19,sG,SANDY GRAVEL,68,31,,,1,-1.9,2.27,,
1538,TM-15,43.00833333,-70.68,24,sG,SANDY GRAVEL,66,31,,,3,-1.8,2.48,,
1539,TM-16,42.99333333,-70.67166667,26,gS,GRAVELLY SAND,23,75,,,2,0.6,2.09,,
1540,TM-17,42.97833333,-70.665,23,gS,GRAVELLY SAND,15,83,,,2,1.4,1.62,,
1541,TM-18,42.97166667,-70.70333333,26,sG,SANDY GRAVEL,53,45,,,2,-0.7,2.54,,
1542,TM-19,42.98833333,-70.705,20,sG,SANDY GRAVEL,5,92,2,1,3,1.1,1.2,,
1543,TM-20,43.005,-70.70166667,22,sG,SANDY GRAVEL,46,52,,,2,-0.2,2.39,,
1544,TM-21,43.025,-70.7,15,S,SAND,0,98,1,1,2,3.1,0.29,,
1545,TM-22,43.03833333,-70.7,15,S,SAND,0,98,2,0,2,2.7,0.5,,
1546,TM-25,43.03833333,-70.50833333,26,msG,MUDDY SANDY GRAVEL,51,29,10,10,20,0.7,4.07,WELLS BAY,
1547,TM-26,43.04,-70.70333333,13,mS,MUDDY SAND,2,83,13,3,15,2.9,1.3,,
1548,TM-27,43.02333333,-70.71166667,16,msG,MUDDY SANDY GRAVEL,63,29,5,3,8,-1,2.95,,
1549,TM-28,43.00833333,-70.72,18,gmS,GRAVELLY MUDDY SAND,22,69,7,3,9,1.2,2.59,,
1550,TM-29,42.99833333,-70.715,21,S,SAND,2,91,5,2,7,3.1,0.68,,
1551,TM-30,42.99166667,-70.72666667,19,msG,MUDDY SANDY GRAVEL,80,17,3,0,3,-2,1.37,,
1552,TM-31,43.045,-70.64166667,27,msG,MUDDY SANDY GRAVEL,67,29,3,1,4,-1.9,2.6,WELLS BAY,
1553,TM-32,43.04666667,-70.665,22,msG,MUDDY SANDY GRAVEL,76,21,3,1,4,-1.7,2.24,WELLS BAY,
1554,TM-33,43.04666667,-70.68833333,9,S,SAND,0,97,2,1,3,2.5,0.58,,
1555,TM-34,42.97666667,-70.735,10,S,SAND,1,97,1,1,2,2.5,0.59,,
1556,TM-35,42.965,-70.74,20,msG,MUDDY SANDY GRAVEL,65,31,3,1,4,-1.6,2.33,,
1557,TM-36,42.94833333,-70.74833333,24,S,SAND,1,90,8,1,9,2.8,1.05,,
1558,TM-37,42.94666667,-70.705,38,S,SAND,1,93,4,2,6,2.7,0.9,,
1559,TM-38,42.955,-70.705,34,sG,SANDY GRAVEL,47,52,,,1,0.9,1.08,,
1560,TM-39,42.96166667,-70.65166667,38,S,SAND,0,92,5,3,8,3.2,0.47,,
1561,TM-40,42.95666667,-70.65166667,37,mS,MUDDY SAND,0,89,9,2,11,3.3,0.75,,
1562,TM-41,42.94666667,-70.645,43,mS,MUDDY SAND,3,80,11,6,17,3.3,1.41,,
1563,TM-42,42.96833333,-70.595,56,msG,MUDDY SANDY GRAVEL,57,27,9,7,16,-0.8,4.2,,
1564,TM-43,42.965,-70.58,59,gmS,GRAVELLY MUDDY SAND,26,57,10,8,17,1.3,3.5,WELLS BAY,
1565,TM-44,42.945,-70.565,77,gM,GRAVELLY MUD,11,23,41,25,66,5.5,3.76,,
1566,TM-46,42.99,-70.55833333,65,mS,MUDDY SAND,1,58,26,15,41,4.8,2.83,WELLS BAY,
1567,TM-47,42.975,-70.54333333,72,sM,SANDY MUD,0,18,52,30,82,6.6,2.61,WELLS BAY,
1568,TM-48,42.96166667,-70.52833333,74,msG,MUDDY SANDY GRAVEL,78,19,2,1,3,-2.6,2.36,WELLS BAY,
