#,Date-Time (EDT),Temperature   (°C),Started,Button Down,Button Up,End of File
138,06/04/2025 02:29:44,12.52,,,,
139,06/04/2025 02:34:44,12.48,,,,
140,06/04/2025 02:39:44,12.48,,,,
141,06/04/2025 02:44:44,12.48,,,,
142,06/04/2025 02:49:44,12.44,,,,
143,06/04/2025 02:54:44,12.35,,,,
144,06/04/2025 02:59:44,12.35,,,,
145,06/04/2025 03:04:44,12.40,,,,
146,06/04/2025 03:09:44,12.31,,,,
147,06/04/2025 03:14:44,12.35,,,,
148,06/04/2025 03:19:44,12.35,,,,
149,06/04/2025 03:24:44,12.35,,,,
150,06/04/2025 03:29:44,12.40,,,,
151,06/04/2025 03:34:44,12.35,,,,
152,06/04/2025 03:39:44,12.35,,,,
153,06/04/2025 03:44:44,12.35,,,,
154,06/04/2025 03:49:44,12.35,,,,
155,06/04/2025 03:54:44,12.44,,,,
156,06/04/2025 03:59:44,12.48,,,,
157,06/04/2025 04:04:44,12.48,,,,
158,06/04/2025 04:09:44,12.44,,,,
159,06/04/2025 04:14:44,12.48,,,,
160,06/04/2025 04:19:44,12.48,,,,
161,06/04/2025 04:24:44,12.44,,,,
162,06/04/2025 04:29:44,12.35,,,,
163,06/04/2025 04:34:44,12.35,,,,
164,06/04/2025 04:39:44,12.27,,,,
165,06/04/2025 04:44:44,12.27,,,,
166,06/04/2025 04:49:44,12.27,,,,
167,06/04/2025 04:54:44,12.31,,,,
168,06/04/2025 04:59:44,12.31,,,,
169,06/04/2025 05:04:44,12.31,,,,
170,06/04/2025 05:09:44,12.35,,,,
171,06/04/2025 05:14:44,12.40,,,,
172,06/04/2025 05:19:44,12.35,,,,
173,06/04/2025 05:24:44,12.35,,,,
174,06/04/2025 05:29:44,12.40,,,,
175,06/04/2025 05:34:44,12.35,,,,
176,06/04/2025 05:39:44,12.35,,,,
177,06/04/2025 05:44:44,12.48,,,,
178,06/04/2025 05:49:44,12.65,,,,
179,06/04/2025 05:54:44,12.74,,,,
180,06/04/2025 05:59:44,12.78,,,,
181,06/04/2025 06:04:44,12.87,,,,
182,06/04/2025 06:09:44,12.91,,,,
183,06/04/2025 06:14:44,13.00,,,,
184,06/04/2025 06:19:44,13.00,,,,
185,06/04/2025 06:24:44,13.17,,,,
186,06/04/2025 06:29:44,13.30,,,,
187,06/04/2025 06:34:44,13.51,,,,
188,06/04/2025 06:39:44,13.68,,,,
189,06/04/2025 06:44:44,13.85,,,,
190,06/04/2025 06:49:44,14.03,,,,
191,06/04/2025 06:54:44,14.24,,,,
192,06/04/2025 06:59:44,14.37,,,,
193,06/04/2025 07:04:44,14.50,,,,
194,06/04/2025 07:09:44,14.67,,,,
195,06/04/2025 07:14:44,14.84,,,,
196,06/04/2025 07:19:44,15.06,,,,
197,06/04/2025 07:24:44,15.18,,,,
198,06/04/2025 07:29:44,15.44,,,,
199,06/04/2025 07:34:44,15.78,,,,
200,06/04/2025 07:39:44,16.00,,,,
201,06/04/2025 07:44:44,16.17,,,,
202,06/04/2025 07:49:44,16.43,,,,
203,06/04/2025 07:54:44,16.51,,,,
204,06/04/2025 07:59:44,16.64,,,,
205,06/04/2025 08:04:44,16.90,,,,
206,06/04/2025 08:09:44,17.20,,,,
207,06/04/2025 08:14:44,17.80,,,,
208,06/04/2025 08:19:44,18.02,,,,
209,06/04/2025 08:24:44,18.14,,,,
210,06/04/2025 08:29:44,17.93,,,,
211,06/04/2025 08:34:44,18.10,,,,
212,06/04/2025 08:39:44,18.19,,,,
213,06/04/2025 08:44:44,18.87,,,,
214,06/04/2025 08:49:44,19.35,,,,
215,06/04/2025 08:54:44,19.73,,,,
216,06/04/2025 08:59:44,20.03,,,,
217,06/04/2025 09:04:44,20.33,,,,
218,06/04/2025 09:09:44,20.80,,,,
219,06/04/2025 09:14:44,21.53,,,,
220,06/04/2025 09:19:44,20.72,,,,
221,06/04/2025 09:24:44,20.63,,,,
222,06/04/2025 09:29:44,20.46,,,,
223,06/04/2025 09:34:44,20.89,,,,
224,06/04/2025 09:39:44,22.05,,,,
225,06/04/2025 09:44:44,22.52,,,,
226,06/04/2025 09:49:44,22.56,,,,
227,06/04/2025 09:54:44,22.82,,,,
228,06/04/2025 09:59:44,23.25,,,,
229,06/04/2025 10:04:44,23.72,,,,
230,06/04/2025 10:09:44,23.81,,,,
231,06/04/2025 10:14:44,23.94,,,,
232,06/04/2025 10:19:44,24.15,,,,
233,06/04/2025 10:24:44,24.41,,,,
234,06/04/2025 10:29:44,24.62,,,,
235,06/04/2025 10:34:44,24.71,,,,
236,06/04/2025 10:39:44,25.18,,,,
237,06/04/2025 10:44:44,25.91,,,,
238,06/04/2025 10:49:44,26.34,,,,
239,06/04/2025 10:54:44,26.72,,,,
240,06/04/2025 10:59:44,26.47,,,,
241,06/04/2025 11:04:44,26.17,,,,
242,06/04/2025 11:09:44,26.55,,,,
243,06/04/2025 11:14:44,26.55,,,,
244,06/04/2025 11:19:44,27.45,,,,
245,06/04/2025 11:24:44,27.63,,,,
246,06/04/2025 11:29:44,27.37,,,,
247,06/04/2025 11:34:44,27.58,,,,
248,06/04/2025 11:39:44,27.63,,,,
249,06/04/2025 11:44:44,27.88,,,,
250,06/04/2025 11:49:44,28.31,,,,
251,06/04/2025 11:54:44,28.10,,,,
252,06/04/2025 11:59:44,28.01,,,,
253,06/04/2025 12:04:44,28.78,,,,
254,06/04/2025 12:09:44,28.78,,,,
255,06/04/2025 12:14:44,29.00,,,,
256,06/04/2025 12:19:44,29.00,,,,
257,06/04/2025 12:24:44,29.26,,,,
258,06/04/2025 12:29:44,29.08,,,,
259,06/04/2025 12:34:44,28.91,,,,
260,06/04/2025 12:39:44,28.01,,,,
261,06/04/2025 12:44:44,28.01,,,,
262,06/04/2025 12:49:44,27.97,,,,
263,06/04/2025 12:54:44,28.05,,,,
264,06/04/2025 12:59:44,28.61,,,,
265,06/04/2025 13:04:44,28.83,,,,
266,06/04/2025 13:09:44,28.48,,,,
267,06/04/2025 13:14:44,29.17,,,,
268,06/04/2025 13:19:44,29.30,,,,
269,06/04/2025 13:24:44,29.81,,,,
270,06/04/2025 13:29:44,30.16,,,,
271,06/04/2025 13:34:44,30.11,,,,
272,06/04/2025 13:39:44,30.41,,,,
273,06/04/2025 13:44:44,30.46,,,,
