Genus,species,Common,Salinity,Range,Confidence,SUM_Samples,NUM_samples,F10M,F11M,F12M,F5M,F6M,F7M,F8M,G1M,G2M,G3M,G4M,G9M,H11M,H12M,H2M,H3M,H6M,H8M,I4M,I5M,I7M,I9M
Fundulus,heteroclitus,mummichog,marine,native,99.435,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0
Fundulus,heteroclitus,mummichog,marine,native,100,209,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0
Fundulus,heteroclitus,mummichog,marine,native,99.435,212,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0
Gambusia,affinis,western mosquitofish,estuarine,inland,100,399,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0
Gasterosteus,aculeatus,threespine stickleback,marine,native,99.425,3584,3,0,0,0,0,0,0,0,0,0,743,1116,1722,0,0,0,0,0,0,0,0,0,0
Glyptocephalus,cynoglossus,witch flounder,marine,native,99.438,51,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,100,10743,9,0,1424,629,0,0,0,0,1048,1674,101,914,0,0,587,0,3963,0,0,394,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,100,12048,9,0,1654,751,0,0,0,0,1194,1808,91,1199,0,0,628,0,4328,0,0,386,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,99.405,394,1,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,100,47,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,99.405,247,1,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepomis,gibbosus,pumpkinseed,estuarine,native,99.405,349,1,0,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius,americanus,american angler,marine,native,100,238,1,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius,americanus,american angler,marine,native,100,229,1,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxilus,cornutus,striped shiner,fresh,inland,100,2048,3,0,0,0,0,0,0,0,513,704,0,0,0,0,0,0,828,0,0,0,0,0,0
Luxilus,cornutus,striped shiner,fresh,inland,99.448,1378,1,0,0,0,0,0,0,0,0,0,0,0,1377,0,0,0,0,0,0,0,0,0,0
