"metar_date","wind_dir","wind_speed","tempr","dewpt","press","vis"
2023-06-29 16:35:00,107.576617480136,1.63352042481161,18.5792966534317,17.0634146341463,1014.72690867839,8915.51944412933
2023-06-29 16:40:00,107.576617480136,1.63311556580134,18.5787294384572,17.0634146341463,1014.72690867839,8908.67311401021
2023-06-29 16:45:00,107.576617480136,1.63270976181778,18.5781622234827,17.0634146341463,1014.72690867839,8901.82678389109
2023-06-29 16:50:00,107.576617480136,1.63230350456874,18.5775950085082,17.0634146341463,1014.72710153148,8894.98045377198
2023-06-29 16:55:00,107.576617480136,1.63189753514371,18.5775950085082,17.0634146341463,1014.72710153148,8894.98045377198
2023-06-29 17:00:00,107.576617480136,1.63149092240467,18.5770277935337,17.0628474191719,1014.72710153148,8888.59054452638
2023-06-29 17:05:00,107.576617480136,1.63108371727875,18.5764605785593,17.0628474191719,1014.72710153148,8882.20063528077
2023-06-29 17:10:00,107.637705848949,1.63067518189396,18.5766174801362,17.0627695800227,1014.72930760499,8878.10799091941
2023-06-29 17:15:00,107.637705848949,1.6302656141848,18.5760499432463,17.0627695800227,1014.72930760499,8871.71445516459
2023-06-29 17:20:00,107.780930760499,1.62985501066913,18.575155984118,17.062733976177,1014.72710153148,8869.42081678956
2023-06-29 17:25:00,107.780930760499,1.62944352031421,18.5745887691435,17.062733976177,1014.72690867839,8863.03090754396
2023-06-29 17:30:00,107.719795802609,1.6290320299593,18.5736961451247,17.0621315192744,1014.72470521542,8860.74349206349
2023-06-29 17:35:00,107.918321043676,1.62861994373537,18.5731292517007,17.0621315192744,1014.72451247166,8854.35720521542
2023-06-29 17:40:00,107.906976744186,1.62820893887659,18.5725623582766,17.0615646258503,1014.72431972789,8848.88324829932
2023-06-29 17:45:00,107.845804988662,1.62779685082751,18.571671388102,17.0615297450425,1014.72192634561,8847.51695750708
2023-06-29 17:50:00,107.884288145207,1.62738461050287,18.5719954648526,17.0615646258503,1014.72393424036,8843.40929138322
2023-06-29 17:55:00,107.884288145207,1.6269728066336,18.5714285714286,17.0615646258503,1014.72354875283,8838.84765873016
2023-06-29 18:00:00,107.823129251701,1.62656070500365,18.5705382436261,17.0615297450425,1014.72115580737,8839.31066855524
2023-06-29 18:05:00,107.789115646259,1.62614742591185,18.5699716713881,17.0609631728045,1014.7209631728,8836.5752407932
2023-06-29 18:10:00,107.789115646259,1.62573522862137,18.5694050991501,17.0609631728045,1014.72039093484,8834.7516203966
2023-06-29 18:15:00,107.789115646259,1.62532346803524,18.5688385269122,17.0609631728045,1014.71981869688,8832.928
2023-06-29 18:20:00,107.732426303855,1.62491053000254,18.5682719546742,17.0609631728045,1014.71905382436,8832.01618696884
2023-06-29 18:25:00,107.793533749291,1.62449700324655,18.5685941043084,17.0609977324263,1014.72068027211,8828.81205782313
2023-06-29 18:30:00,107.736812251843,1.62408357423268,18.5680272108844,17.0604308390023,1014.72010770975,8828.81205782313
2023-06-29 18:35:00,107.685762904141,1.62366926238286,18.5674603174603,17.0598639455782,1014.71953514739,8829.72438208617
2023-06-29 18:40:00,107.707150964813,1.62325451407768,18.5677821894498,17.0598979013046,1014.72135564379,8829.25567214975
2023-06-29 18:45:00,107.646057855927,1.62284049981492,18.5668934240363,17.0592970521542,1014.71896258503,8833.37369047619
2023-06-29 18:50:00,107.600680657969,1.62242751387323,18.5663265306122,17.0587301587302,1014.71839002268,8838.84764739229
2023-06-29 18:55:00,107.549631310267,1.62201555625262,18.5657596371882,17.0581632653061,1014.71781746032,8843.40928004535
2023-06-29 19:00:00,107.498581962564,1.62160433267442,18.5651927437642,17.0575963718821,1014.7170521542,8848.88323696145
2023-06-29 19:05:00,107.436188315372,1.62119340006648,18.5646258503401,17.057029478458,1014.71628684807,8855.72568594104
2023-06-29 19:10:00,107.375283446712,1.6207835493107,18.5637393767705,17.0569971671388,1014.713898017,8859.82637393768
2023-06-29 19:15:00,107.329931972789,1.62037399596857,18.5636260623229,17.0566005665722,1014.71332577904,8867.8047082153
2023-06-29 19:20:00,107.454648526077,1.61996414521279,18.5636260623229,17.0560339943343,1014.71275354108,8875.5550878187
2023-06-29 19:25:00,107.409297052154,1.61955493956547,18.5636260623229,17.0560339943343,1014.71218130312,8883.3054674221
2023-06-29 19:30:00,107.358276643991,1.6191448511039,18.5636260623229,17.0560339943343,1014.71141643059,8889.68813597734
2023-06-29 19:35:00,107.301587301587,1.61873367917343,18.5636260623229,17.0560339943343,1014.71045892351,8894.24718413598
2023-06-29 19:40:00,107.261904761905,1.6183237402249,18.5636260623229,17.0560339943343,1014.70969405099,8898.80623229462
2023-06-29 19:45:00,107.216553287982,1.61791409834378,18.5636260623229,17.0560339943343,1014.70873654391,8905.18890084986
2023-06-29 19:50:00,107.165532879819,1.61750322365373,18.5636260623229,17.0560339943343,1014.70816430595,8911.11566572238
2023-06-29 19:55:00,107.104815864023,1.61709329047021,18.5627406568516,17.0560022650057,1014.70597395243,8914.27137599094
2023-06-29 20:00:00,107.108843537415,1.6166836572366,18.5636260623229,17.0560339943343,1014.70739943343,8915.67471388102
2023-06-29 20:05:00,107.046485260771,1.61627255218565,18.5636260623229,17.0554674220963,1014.70644192635,8920.23376203966
2023-06-29 20:10:00,106.984126984127,1.6158619454797,18.5636260623229,17.0560339943343,1014.70548441926,8924.7928101983
2023-06-29 20:15:00,106.927437641723,1.61545133877376,18.5636260623229,17.0560339943343,1014.70452691218,8929.35185835694
2023-06-29 20:20:00,106.866855524079,1.61504038314933,18.5627406568516,17.05543601359,1014.70214609287,8933.40853340883
2023-06-29 20:25:00,106.99716713881,1.61462942752491,18.5627406568516,17.0560022650057,1014.70118912797,8937.05370894677
2023-06-29 20:30:00,107.127478753541,1.61421876896789,18.5627406568516,17.0560022650057,1014.70023216308,8939.78758776897
2023-06-29 20:35:00,107.087818696884,1.61380811041088,18.5627406568516,17.0565685164213,1014.69946772367,8940.6988788222
2023-06-29 20:40:00,107.02718006795,1.61339809524753,18.5618562535371,17.0565365025467,1014.69709111488,8944.74683644595
2023-06-29 20:45:00,106.976217440544,1.61298793134338,18.5618562535371,17.0571024335031,1014.69613469157,8947.47916808149
2023-06-29 20:50:00,106.99716713881,1.61257776743922,18.5627406568516,17.0577010192525,1014.69755379388,8946.16663646659
