"Common","Genus","species","Salinity","Habitat","Migratory","Depth","Temperature","Coastal","Seasonal","orientation","dist.to.center","Species","filename","centr.x","centr.y"
"rock gunnel","Pholis","gunnellus","marine-brackish","demersal","nonmigratory","0-100m","temperate","coastal","Minimal migration, winter spawning","South of center",-5.87292736862909,"Pholis gunnellus","Pholis_gunnellus.nc",-58.2966437730069,49.5286273686291
"sandlance","Ammodytes","americanus","marine-brackish","demersal","nonmigratory","0-73m","temperate","coastal","Minimial migration","South of center",-2.42302556556116,"Ammodytes americanus","Ammodytes_americanus.nc",-61.1454947287503,46.0787255655612
"shortfin squid","Illex","illecebrosus","marine","pelagic-neritic","oceanodromous","","subtropical to subpolar","offshore","Seasonal inshore-offshore migrations","South of center",-3.56563197901821,"Illex illecebrosus","Illex_illecebrosus.nc",-58.0224674812771,47.2213319790182
"shorthorn sculpin","Myoxocephalus","scorpius","marine-brackish","demersal","nonmigratory","0-541m","temperate to polar","coastal","Minimal migration","South of center",-11.4288288722652,"Myoxocephalus scorpius","Myoxocephalus_scorpius.nc",-58.2025499137504,55.0845288722652
"spotted hake","Urophycis","regia","marine","demersal","nonmigratory","0-494m","subtropical to temperate","coastal","Minimal migration","North of center",2.75459937625821,"Urophycis regia","Urophycis_regia.nc",-67.7544717996106,40.9011006237418
"striped bass","Morone","saxatilis","euryhaline","demersal","anadromous","30+m","subtropical to temperate","coastal","Inshore spring spawning","North of center",0.729659319800717,"Morone saxatilis","Morone_saxatilis.nc",-65.244832626508,42.9260406801993
"summer flounder","Paralichthys","dentatus","marine-brackish","demersal","oceanodromous","10-183m","temperate","coastal","Seasonal inshore-offshore migrations","North of center",5.10004748339151,"Paralichthys dentatus","Paralichthys_dentatus.nc",-72.4936944037834,38.5556525166085
"threespine stickleback","Gasterosteus","aculeatus","euryhaline","benthopelagic","anadromous","0-100m","subtropical to subpolar","coastal","Juveniles descend in late summer","South of center",-3.95757099014614,"Gasterosteus aculeatus","Gasterosteus_aculeatus.nc",-61.1406643868216,47.6132709901461
"white hake","Urophycis","tenuis","marine","demersal","oceanodromous","100-1000m","temperate","coastal","Seasonal inshore-offshore migrations","South of center",-2.92524033986319,"Urophycis tenuis","Urophycis_tenuis.nc",-57.8487230909337,46.5809403398632
"white mullet","Mugil","curema","euryhaline","reef-associated","catadromous","0-300m","tropical to subtropical","coastal","Juveniles common in coastal lagoons, spawning march to august","North of center",10.6658230505079,"Mugil curema","Mugil_curema.nc",-77.2314708828159,32.9898769494921
"winter flounder","Pseudopleuronectes","americanus","marine","demersal","oceanodromous","5-143m","temperate","coastal","Seasonal inshore-offshore migrations","South of center",-1.72265723293941,"Pseudopleuronectes americanus","Pseudopleuronectes_americanus.nc",-62.6998458592181,45.3783572329394
