species_name,year,Group,lambda,wk,mu,ll,ul,overlap,min.length,max.length,agemax,Linf,range,coverage
mummichog,2016,2,0.361568946,30,66.99411513,50.94415687,83.04407339,0,3,101,4,150,32.09991651,0.213999443
mummichog,2016,1,0.57375868,32,34.89909282,25.47700552,44.32118012,0,3,101,4,150,18.8441746,0.125627831
mummichog,2016,2,0.42624132,32,69.95548129,50.64912987,89.26183272,0,3,101,4,150,38.61270285,0.257418019
mummichog,2016,1,1,33,38.81218589,24.7202927,52.90407907,0,3,101,4,150,28.18378638,0.187891909
mummichog,2016,1,0.637351065,35,44.10530236,38.3493012,49.86130353,0,3,101,4,150,11.51200233,0.076746682
mummichog,2016,2,0.362648935,35,73.37519651,56.0214407,90.72895231,0,3,101,4,150,34.70751162,0.231383411
mummichog,2016,1,0.702539042,36,48.52958355,33.03136216,64.02780495,0,3,101,4,150,30.99644279,0.206642952
mummichog,2016,2,0.297460958,36,82.37543816,70.96986777,93.78100856,0,3,101,4,150,22.81114079,0.152074272
mummichog,2017,1,0.28529864,26,36.99906169,34.54910403,39.44901935,0,3,101,4,150,4.899915319,0.032666102
mummichog,2017,1,0.554833205,30,29.94282717,28.74975738,38.22801183,0,3,101,4,150,9.478254453,0.015907597
mummichog,2017,1,0.712708722,32,36.18535724,29.85485051,55.56748578,0,3,101,4,150,25.71263527,0.084406756
mummichog,2017,1,1,37,44.91905178,30.96495795,58.87314561,0,3,101,4,150,27.90818767,0.186054584
mummichog,2018,1,1,32,41.18641285,30.81783014,51.55499557,0,3,101,4,150,20.73716543,0.13824777
mummichog,2018,1,1,34,45.85942177,35.97897703,55.73986652,0,3,101,4,150,19.76088949,0.131739263
mummichog,2018,1,1,36,46.14445386,35.86872307,56.42018465,0,3,101,4,150,20.55146158,0.137009744
mummichog,2020,2,1,26,50.30318227,40.44352187,60.16284267,0,3,101,4,150,19.7193208,0.131462139
mummichog,2020,2,1,28,50.48967189,40.61124421,60.36809956,0,3,101,4,150,19.75685535,0.131712369
mummichog,2020,1,0.555419046,34,37.79852817,30.68400844,44.91304791,0,3,101,4,150,14.22903947,0.094860263
mummichog,2020,2,0.444580954,34,69.11721995,55.82539231,82.4090476,0,3,101,4,150,26.58365528,0.177224369
mummichog,2020,1,1,36,43.35495226,17.3383663,69.37153822,0,3,101,4,150,52.03317192,0.346887813
mummichog,2022,2,1,27,63.37184842,53.37579009,73.36790676,0,3,101,4,150,19.99211667,0.133280778
mummichog,2022,1,0.526100896,31,40.1142365,31.73040734,48.49806565,0,3,101,4,150,16.76765831,0.111784389
mummichog,2022,2,0.473899104,31,69.6306672,54.76934926,84.49198513,0,3,101,4,150,29.72263586,0.198150906
mummichog,2022,1,0.406113394,32,38.30390068,28.31411619,48.29368516,0,3,101,4,150,19.97956897,0.133197126
mummichog,2022,2,0.593886606,32,72.78413478,61.182397,84.38587257,0,3,101,4,150,23.20347557,0.154689837
mummichog,2022,1,1,33,37.64208944,21.81258113,53.47159775,0,3,101,4,150,31.65901662,0.211060111
mummichog,2022,1,0.82082768,34,49.9144676,31.65393025,68.17500494,0,3,101,4,150,36.52107469,0.243473831
mummichog,2022,2,0.17917232,34,77.18158099,68.65657937,85.70658261,0,3,101,4,150,17.05000324,0.113666688
