"loc_id","date","site_name","site_id","bay_location","week","month","year","green crab","northern pipefish","shorthorn sculpin","tomcod","winter flounder","atlantic cod","sandlance","hake","mummichog","atlantic silverside","banded killifish","alewife","atlantic herring","striped bass","white hake","pollock","rock gunnel","unID sculpin","american shad","atlantic menhaden","unID shiner","smallmouth bass","bluefish","ninespine stickleback","red hake","spotted hake","longhorn sculpin","threespine stickleback","river herring","white sucker","blueback herring","smelt","horseshoe crab","common dab","largemouth bass","american eel","northern puffer","lumpfish","white mullet","mullet","golden shiner","emerald shiner","slimy sculpin","grubby sculpin","striped sculpin","unID sturgeon","shortnose sturgeon","periwinkle","butterfish","unID gunnel","shortfin squid","permit","crevalle jack","substrate","do_mg.l","salinity_ppt","temp_degc","TideHT.m","numeric.tide","shannon","simpson","logcrab","logshannon"
"2014_003_06","2014-06-27","Mackworth Island - North",6,"Mid",26,6,2014,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/shell",10.7,33.1,16.3,2.74383333333333,0.983888660359249,0.636514168294813,0.444444444444444,1.23114441334492,0.681140751041535
"2014_003_09","2014-06-27","Great Diamond Island",9,"Outer",26,6,2014,0,0,0,0,0,0,0,0,0,0,0,0,2079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",9.8,30.28,18.4,2.76975,0.996875945405357,0,0,0,0
"2014_004_02","2014-07-01","Skitterygusset",2,"Inner",27,7,2014,0,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.9,0.86,23.4,0.985333333333333,0.31026312507794,0.146144746008564,0.0644444444444445,0,0.195013971011384
"2014_004_05","2014-07-01","The Brothers - North",5,"Mid",27,7,2014,1,0,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/gravel",9.8,33.05,21.1,0.265,0.040778151889263,0.881532261188164,0.5546875,1,0.898364287302288
"2014_004_07","2014-07-01","Mackworth Island - Beach",7,"Mid",27,7,2014,139,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand/shell",8.2,16.9,22.3,0.4935,0.126262626262626,0.115839937416148,0.0415592144415791,4.39444911601279,0.160058803880588
"2014_004_08","2014-07-01","Back Cove",8,"Mid",27,7,2014,10,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.1,29.77,20.3,1.52066666666667,0.510537473500436,1.04083983742324,0.5546875,1.99526231496888,1.03460916264422
"2014_004_10","2014-07-01","SMCC",10,"Outer",27,7,2014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"sand",9.3,29.02,16.5,0.235666666666667,0.0252169833450621,0.673011667009257,0.48,1.5157165665104,0.714198944561229
"2014_004_11","2014-07-01","Cushing Island",11,"Outer",27,7,2014,3,0,0,22,0,0,0,0,0,0,0,0,3,0,0,25,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",10.1,31.05,15.5,0.169,0.00175932441942285,1.26476459777138,0.650046168051708,1.39038917031591,1.22097914378177
"2014_005_01","2014-07-08","Presumpscot Moorings",1,"Inner",28,7,2014,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud/gravel",7.8,0.68,25.5,1.91133333333333,0.654015401540154,0.535961049709069,0.272189349112426,0,0.58852273515194
"2014_005_03","2014-07-08","Audubon",3,"Inner",28,7,2014,6,0,0,0,0,0,0,0,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"mud",8.1,6.66,24.1,NA,NA,0.377659327619408,0.189797282245489,1.71176985940971,0.437054084448777
