"day","daily.wattemp","daily.ws","daily.wd","daily.airtemp","daily.pres","daily.vis","gauge.mm","week.wattemp","week.ws","week.wd","week.airtemp","week.pres","week.vis","week.rain","date","cumlt.rain"
"2023-06-01",12.3993055555556,1.10040413408072,94.7511312217195,17.7789237668161,1018.62376681614,14967.6210313901,0,NA,NA,NA,NA,NA,NA,NA,2023-06-01,0
"2023-06-02",13.3780092592593,1.45153727620818,68.4701492537313,21.8955390334573,1013.85494423792,16093.44,0,NA,NA,NA,NA,NA,NA,NA,2023-06-02,0
"2023-06-03",13.65,2.09907202006689,51.1895910780669,11.4254180602007,1018.37628762542,13582.5405351171,17.8,NA,NA,NA,NA,NA,NA,NA,2023-06-03,17.8
"2023-06-04",12.8914351851852,1.73939282931596,41.1494252873563,7.36319218241042,1018.97123778502,12245.6925732899,8.9,12.848544973545,1.51764593227057,111.586866838527,13.6905972209274,1012.02805208615,14379.6976402555,6.71428571428571,2023-06-04,26.7
"2023-06-05",12.5053240740741,1.26243096222222,101.460674157303,10.2726984126984,1013.09695238095,12025.3761904762,16.8,12.8768187830688,1.50689505368761,109.321999353071,12.9710626568368,1009.87772695657,14523.8084643426,6.92857142857143,2023-06-05,43.5
"2023-06-06",12.5342592592593,1.193511704,170.268199233716,13.5472727272727,1003.28469090909,15841.7970909091,3,12.7771494708995,1.4260013231137,108.764598791644,11.7178887313101,1008.96094289835,14472.4248146707,6.93,2023-06-06,46.5
"2023-06-07",12.5814814814815,1.7771726,253.818897637795,13.5511363636364,997.988484848485,15901.4160606061,0.5,12.6795634920635,1.22240854267557,110.536172070041,11.8261623417576,1007.35956847567,14282.0319048921,4.38857142857143,2023-06-07,47
"2023-06-08",12.5972222222222,1.025147984,78.8970588235294,12.7421818181818,1003.57149090909,15976.3968,1.5,12.6925595238095,1.12038683220591,118.845408375045,12.8907924352532,1006.06841900486,14199.0601543005,3.18857142857143,2023-06-08,48.5
"2023-06-09",12.6803240740741,0.885281162190813,64.568345323741,13.1233215547703,1007.43745583039,15733.7544522968,0.01,12.811044973545,1.13212117688845,117.917002361297,13.9601147399326,1005.93814550455,14755.8281444057,0.788571428571429,2023-06-09,48.51
"2023-06-10",12.9668981481481,0.673922557,63.5906040268456,12.1833333333333,1007.16666666667,12249.7901666667,0.01,12.9624669312169,1.19629597336303,103.919643816451,14.3755406699348,1006.76162065313,14170.6405938884,0.36,2023-06-10,48.52
"2023-06-11",12.9824074074074,1.02524085602837,99.3140794223827,14.8156028368794,1009.93319148936,11664.8903191489,0.5,13.126455026455,1.13043941622017,79.0221475597746,14.5536250855193,1007.67400778981,13399.558870017,1.27428571428571,2023-06-11,49.02
"2023-06-12",13.3347222222222,1.344571375,94.9618320610687,17.7579545454545,1012.18503787879,15922.7521212121,0,13.3255621693122,1.16412243883556,80.3837922176378,15.0363104002046,1007.1506978997,13302.1300514356,1.46,2023-06-12,49.02
"2023-06-13",13.594212962963,1.64273527932203,72.2866894197952,16.4552542372881,1009.04901694915,11745.4842372881,0,13.5491732804233,1.21129172637973,82.5731167458571,15.7543570191408,1006.64075954163,13325.1802403429,1.46,2023-06-13,49.02
"2023-06-14",13.7293981481481,1.3161767,79.5364238410596,14.7977272727273,1004.37519480519,10503.8439935065,6.9,13.7666666666667,1.32912406004639,82.1096048507714,16.3863570191408,1006.45516906544,13400.2829022477,1.60142857142857,2023-06-14,55.92
"2023-06-15",13.9909722222222,1.26092914230769,88.4285714285714,16.120979020979,999.908321678322,15294.3950699301,2.8,14.0056547619048,1.44760542662826,97.8115174777394,16.2365089948247,1005.73635392514,13335.7170957854,7.04428571428571,2023-06-15,58.72
"2023-06-16",14.2456018518519,1.215466175,79.8936170212766,18.1496478873239,1003.86788732394,15895.1057746479,0.01,14.1931547619048,1.33219967491346,90.7274178016379,15.8116748488263,1006.34421597134,13360.1010784694,7.04571428571429,2023-06-16,58.73
"2023-06-17",14.4893518518519,1.49874889266667,60.3460207612457,16.6073333333333,1005.86753333333,12775.5088,1,14.3007275132275,1.26812986715317,95.8992062606805,15.6496997537035,1008.40705028472,13923.7610547752,7.26,2023-06-17,59.73
"2023-06-18",14.6553240740741,1.85461042210145,209.227467811159,13.7666666666667,1004.90148550725,11212.929673913,38.6,14.361541005291,1.23270280415714,93.8175441022998,15.5909966512504,1011.73082205858,14044.5135012572,6.53142857142857,2023-06-18,98.33
