loc_id,date,site_name,site_id,bay_location,species_name,sex,length_mm,notes
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,54,Photo 3
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,61,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,58,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,54,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,60,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,55,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,55,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,55,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,54,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,57,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,58,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic herring,NA,56,NA
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,96,Photo 1; bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,41,Photo 2 ; bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,40,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,50,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,45,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,alewife,NA,45,bagged
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic silverside,NA,113,NA
2014_003_03,6/27/2014,Audubon,03,Inner,atlantic tomcod,NA,60,NA
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,mummichog,NA,54,NA
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,mummichog,NA,57,NA
2014_003_01,6/27/2014,Presumpscot Moorings,01,Inner,alewife,NA,43,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,striped bass,NA,546,Photo 4
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,51,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,54,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,49,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,51,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,52,NA
2014_003_04,6/27/2014,Mussel Cove,04,Mid,atlantic herring,NA,49,NA
