"year","week","mean.weekly","mean.anom","dectime"
2003,1,3.36419560185185,-0.934595203734649,2003.01886792453
2003,2,2.34866402116402,-1.36892074074183,2003.03773584906
2003,3,1.69298654244306,-1.4958742847096,2003.05660377358
2003,4,0.312223790702052,-2.40543683499516,2003.07547169811
2003,5,-0.120380783892504,-2.45120935030428,2003.09433962264
2003,6,0.571664078674948,-1.48354497949366,2003.11320754717
2003,7,0.328053255118472,-1.58873209974536,2003.1320754717
2003,8,-0.414696712018141,-2.34096104080914,2003.15094339623
2003,9,0.236205357142857,-1.83689481718624,2003.16981132075
2003,10,0.607142857142857,-1.73668350121344,2003.18867924528
2003,11,1.01321428571429,-1.71176158222878,2003.20754716981
2003,12,1.83571881469979,-1.36736287546012,2003.22641509434
2003,13,NA,NA,2003.24528301887
2003,14,3.31621635610766,-1.08131590215271,2003.2641509434
2003,15,3.1878621031746,-1.90177671546768,2003.28301886792
2003,16,4.41546130952381,-1.41395210924191,2003.30188679245
2003,17,5.36921130952381,-1.23596982354542,2003.32075471698
2003,18,6.09766369047619,-1.30760378499107,2003.33962264151
2003,19,7.12375,-1.09452184125161,2003.35849056604
2003,20,8.04072420634921,-0.993555936435678,2003.37735849057
2003,21,9.33953869047619,-0.504676688592364,2003.39622641509
2003,22,9.21473214285714,-1.42430031895804,2003.41509433962
2003,23,10.2792113095238,-1.1304749932135,2003.43396226415
2003,24,10.8102232142857,-1.33691506417912,2003.45283018868
2003,25,11.7959958791209,-1.04697371657627,2003.47169811321
2003,26,13.3831101190476,-0.107679620961936,2003.49056603774
2003,27,13.6550148809524,-0.429911765727305,2003.50943396226
2003,28,15.1927232142857,0.5730040956405,2003.52830188679
2003,29,15.1856547619048,0.096148803060948,2003.54716981132
2003,30,14.0857738095238,-1.40284361530738,2003.56603773585
2003,31,13.6119288003663,-2.19916700947044,2003.58490566038
2003,32,14.8588392857143,-1.19155549665795,2003.60377358491
2003,33,15.8343005952381,-0.36554007331662,2003.62264150943
2003,34,15.384181547619,-0.868577818745,2003.64150943396
2003,35,14.2341369047619,-1.96833986901821,2003.66037735849
2003,36,14.0764732142857,-1.96614954091122,2003.67924528302
2003,37,14.9990178571429,-0.77267237028103,2003.69811320755
2003,38,15.6837965838509,0.289313221260919,2003.71698113208
2003,39,15.6716369047619,0.755035298862094,2003.7358490566
2003,40,14.5287053571429,0.185060923030379,2003.75471698113
2003,41,12.6260416666667,-1.05516965898137,2003.77358490566
2003,42,12.3842410714286,-0.55166767028616,2003.79245283019
2003,43,10.7305357142857,-1.39253527772951,2003.81132075472
2003,44,10.455894510582,-0.809346835415075,2003.83018867925
2003,45,9.82994047619048,-0.555520739626297,2003.84905660377
2003,46,8.75173611111111,-0.755035902519653,2003.8679245283
2003,47,NA,NA,2003.88679245283
2003,48,7.36114583333333,-0.76232228076946,2003.90566037736
2003,49,NA,NA,2003.92452830189
2003,50,3.72511904761905,-2.61868570586896,2003.94339622642
2003,51,3.1852141563147,-2.45474345153655,2003.96226415094
2003,52,4.01085648148148,-0.943179924587198,2003.98113207547
2004,1,5.27859085648148,1.04216675381867,2004.01886792453
2004,2,4.03650540573372,0.240258109840122,2004.03773584906
2004,3,2.02787698412698,-1.23362008114414,2004.05660377358
2004,4,1.26517857142857,-1.51525708096464,2004.07547169811
2004,5,0.0577097505668934,-2.32219771556522,2004.09433962264
2004,6,0.180511148904006,-1.90624576645611,2004.11320754717
2004,7,0.349166666666667,-1.57825217845167,2004.1320754717
2004,8,0.208081065759637,-1.70810545925561,2004.15094339623
2004,9,0.816369047619048,-1.2278553551559,2004.16981132075
2004,10,2.02505952380952,-0.273016954204147,2004.18867924528
2004,11,2.32654761904762,-0.337728118754286,2004.20754716981
2004,12,2.06049107142857,-1.06886409778157,2004.22641509434
2004,13,2.31126488095238,-1.36863406047795,2004.24528301887
2004,14,3.36795289855072,-0.935279016168181,2004.2641509434
2004,15,3.52928571428571,-1.45828998570416,2004.28301886792
2004,16,4.4925,-1.22875537151113,2004.30188679245
2004,17,5.85592261904762,-0.636673384673633,2004.32075471698
2004,18,5.92575892857143,-1.36416374924852,2004.33962264151
2004,19,6.7409375,-1.36079337671408,2004.35849056604
2004,20,8.2447619047619,-0.673106479681322,2004.37735849057
2004,21,9.75822916666667,0.0290041842742674,2004.39622641509
2004,22,9.73370535714286,-0.793050225131302,2004.41509433962
2004,23,9.72910714285714,-1.57230795294392,2004.43396226415
2004,24,10.9017410714286,-1.14241879356851,2004.45283018868
2004,25,11.1083333333333,-1.63803832130246,2004.47169811321
2004,26,12.0786160714286,-1.32278262293282,2004.49056603774
2004,27,12.7861011904762,-1.21745004840601,2004.50943396226
2004,28,13.4192113095238,-1.12795678161206,2004.52830188679
2004,29,14.0142113095238,-1.01237674453629,2004.54716981132
2004,30,14.9727976190476,-0.463349058512833,2004.56603773585
2004,31,15.0125297619048,-0.757434695069812,2004.58490566038
2004,32,14.7057738095238,-1.31578095052485,2004.60377358491
2004,33,14.0702678571429,-2.1139775627726,2004.62264150943
2004,34,14.5030803571429,-1.74828197741198,2004.64150943396
2004,35,14.4117205831608,-1.80451081878588,2004.66037735849
2004,36,15.2632738095238,-0.80905364872569,2004.67924528302
2004,37,15.3149404761905,-0.502091587588217,2004.69811320755
2004,38,15.0291071428571,-0.425557283639332,2004.71698113208
2004,39,14.2283333333333,-0.76248863877328,2004.7358490566
2004,40,13.8998214285714,-0.531282748796879,2004.75471698113
2004,41,13.2665476190476,-0.514562899993134,2004.77358490566
2004,42,12.5394642857143,-0.507547804091478,2004.79245283019
2004,43,11.0911904761905,-1.1512922092802,2004.81132075472
2004,44,10.0702380952381,-1.31943165927079,2004.83018867925
2004,45,9.74529761904762,-0.766317090029233,2004.84905660377
2004,46,8.32043154761905,-1.31092741371201,2004.8679245283
2004,47,7.18308035714286,-1.58886318535215,2004.88679245283
2004,48,7.35761904761905,-0.596471587555057,2004.90566037736
2004,49,6.93998511904762,-0.24166419757827,2004.92452830189
2004,50,5.05269345238095,-1.39364685796612,2004.94339622642
2004,51,5.03331845238095,-0.705882192029612,2004.96226415094
2004,52,4.71190476190476,-0.3393625849845,2004.98113207547
2004,53,3.35425,-1.11580058438544,2005
2005,1,3.69767857142857,-0.257459064094882,2005.01886792453
2005,2,3.13392857142857,-0.276049776970916,2005.03773584906
2005,3,1.71041666666667,-1.20042138124704,2005.05660377358
2005,4,-0.222409297052154,-2.70697043999054,2005.07547169811
2005,5,0.617748015873016,-1.54024402647279,2005.09433962264
2005,6,1.12449404761905,-0.833431556691005,2005.11320754717
2005,7,1.62706101190476,-0.277536589032776,2005.1320754717
2005,8,0.707544642857143,-1.28667038928761,2005.15094339623
2005,9,0.532596726190476,-1.68089765262037,2005.16981132075
2005,10,0.89046130952381,-1.6585073184825,2005.18867924528
2005,11,1.53666666666667,-1.45050410013497,2005.20754716981
2005,12,2.6097619047619,-0.904883118777523,2005.22641509434
2005,13,3.30429865424431,-0.814101966900733,2005.24528301887
2005,14,4.16059523809524,-0.625908826737965,2005.2641509434
2005,15,4.77790178571429,-0.729377302074938,2005.28301886792
2005,16,6.15083333333333,-0.11821743111832,2005.30188679245
2005,17,6.41495535714286,-0.64518881211619,2005.32075471698
2005,18,6.75780505952381,-1.11113138487787,2005.33962264151
2005,19,7.26333333333333,-1.42144519618433,2005.35849056604
2005,20,7.91309523809524,-1.58532883178704,2005.37735849057
2005,21,8.27907738095238,-2.02175054216637,2005.39622641509
2005,22,8.89239583333333,-2.19054916760631,2005.41509433962
2005,23,10.7324553571429,-1.10327485791465,2005.43396226415
2005,24,12.4069642857143,-0.143337381656142,2005.45283018868
2005,25,11.9723214285714,-1.24707446544922,2005.47169811321
2005,26,13.1156696428571,-0.721563467483877,2005.49056603774
2005,27,13.5866220238095,-0.81153009545969,2005.50943396226
2005,28,13.9432886904762,-0.953203033266714,2005.52830188679
2005,29,14.6512053571429,-0.675385240411692,2005.54716981132
2005,30,14.4688988095238,-1.21378818294244,2005.56603773585
2005,31,15.5112351190476,-0.447216219078864,2005.58490566038
2005,32,15.133340709698,-1.01388221717284,2005.60377358491
2005,33,15.7613424534834,-0.480985203195963,2005.62264150943
2005,34,15.5930311291183,-0.644060296413396,2005.64150943396
2005,35,15.4846880217996,-0.640172462389028,2005.66037735849
2005,36,15.5485605405206,-0.352583301950367,2005.67924528302
2005,37,14.8328110827664,-0.73598640263328,2005.69811320755
2005,38,14.6209951496916,-0.512381311026667,2005.71698113208
2005,39,13.0107780612245,-1.58970218396121,2005.7358490566
2005,40,12.9087202380952,-1.06698807746604,2005.75471698113
2005,41,12.6143005952381,-0.650493191607021,2005.77358490566
2005,42,11.550818452381,-0.927464309588616,2005.79245283019
2005,43,10.2819907407407,-1.35492321908319,2005.81132075472
2005,44,10.2646726190476,-0.499047163544299,2005.83018867925
2005,45,9.90900297619048,0.0272613337604692,2005.84905660377
2005,46,9.37431547619048,0.360294524695807,2005.8679245283
2005,47,8.90275621118012,0.719893737390055,2005.88679245283
2005,48,8.21158708592132,0.813421227868645,2005.90566037736
2005,49,7.28321428571429,0.630052077045238,2005.92452830189
2005,50,5.91633928571429,-0.0225494630354606,2005.94339622642
2005,51,5.5178823757764,0.271499869408718,2005.96226415094
2005,52,5.34048913043478,0.725541565275273,2005.98113207547
2005,53,3.91854166666667,-0.398795047987038,2006
2006,1,3.9172986856139,-0.117910228386221,2006.01886792453
2006,2,4.32833101422387,0.842664147979922,2006.03773584906
2006,3,4.47894986354225,1.50064097396948,2006.05660377358
2006,4,4.37921536796537,1.83923597510648,2006.07547169811
2006,5,3.83166997354497,1.63414718857042,2006.09433962264
2006,6,3.62328869047619,1.64551389444536,2006.11320754717
2006,7,3.0827487244898,1.17958371899749,2006.1320754717
2006,8,3.38702380952381,1.41386385159838,2006.15094339623
2006,9,2.52342261904762,0.348681934240251,2006.16981132075
2006,10,2.79150432900433,0.29706415579572,2006.18867924528
2006,11,3.27553183229814,0.356740422098496,2006.20754716981
2006,12,3.44277810323734,0.00844679542889524,2006.22641509434
2006,13,4.71811100131752,0.69017325483718,2006.24528301887
2006,14,5.35816628100516,0.670602657308502,2006.2641509434
2006,15,NA,NA,2006.28301886792
2006,16,NA,NA,2006.30188679245
2006,17,7.65345238095238,0.707674273192774,2006.32075471698
2006,18,8.27268601190476,0.519949503181769,2006.33962264151
2006,19,9.31043154761905,0.742278373645717,2006.35849056604
2006,20,8.77633928571429,-0.606327009373607,2006.37735849057
2006,21,9.41257440476191,-0.774655479782039,2006.39622641509
2006,22,11.9060520186335,0.933253164579494,2006.41509433962
2006,23,NA,NA,2006.43396226415
2006,24,NA,NA,2006.45283018868
2006,25,13.4790787337662,0.352261584542764,2006.47169811321
2006,26,13.4702070393375,-0.282116360155263,2006.49056603774
2006,27,12.9293799603175,-1.39234022448984,2006.50943396226
2006,28,13.7109970238095,-1.11834928429532,2006.52830188679
2006,29,15.3290827922078,0.0595422206563589,2006.54716981132
2006,30,15.1235267857143,-0.513053011152574,2006.56603773585
2006,31,NA,NA,2006.58490566038
2006,32,15.6792670807453,-0.446567517766996,2006.60377358491
2006,33,14.3481534090909,-1.8865755175689,2006.62264150943
2006,34,14.855193452381,-1.38904228461598,2006.64150943396
2006,35,15.4479613095238,-0.699723814754741,2006.66037735849
2006,36,15.8738988095238,-0.0659823252742773,2006.67924528302
2006,37,15.5004761904762,-0.122240639910055,2006.69811320755
2006,38,15.0797470238095,-0.121930909303294,2006.71698113208
2006,39,13.6668334899749,-1.01553042976207,2006.7358490566
2006,40,13.4115476190476,-0.658826647970383,2006.75471698113
2006,41,13.1921130952381,-0.179244868975997,2006.77358490566
2006,42,12.6544196428571,0.0598828501016018,2006.79245283019
2006,43,11.5731696428571,-0.186425761512564,2006.81132075472
2006,44,10.2444772256729,-0.645059784916557,2006.83018867925
2006,45,NA,NA,2006.84905660377
2006,46,9.94446263227513,0.808227776803673,2006.8679245283
2006,47,9.17933035714286,0.880612153891431,2006.88679245283
2006,48,8.77675595238095,1.26912979239433,2006.90566037736
2006,49,8.22434523809524,1.46684442573631,2006.92452830189
2006,50,8.10348214285714,2.06409606410055,2006.94339622642
2006,51,7.81491228070175,2.47059329344926,2006.96226415094
2006,52,6.93496211679116,2.24201638495155,2006.98113207547
2007,1,NA,NA,2007.01886792453
2007,2,7.02003517316017,3.45781888966186,2007.03773584906
2007,3,4.9069175170068,1.85972904128603,2007.05660377358
2007,4,3.4044494047619,0.807095172414567,2007.07547169811
2007,5,2.56199404761905,0.322436085368774,2007.09433962264
2007,6,NA,NA,2007.11320754717
2007,7,NA,NA,2007.1320754717
2007,8,NA,NA,2007.15094339623
2007,9,0.992098214285714,-1.14629936348796,2007.16981132075
2007,10,0.931717779503106,-1.51032968887902,2007.18867924528
2007,11,1.8872619047619,-0.965011061808399,2007.20754716981
2007,12,2.50053571428571,-0.855072270860743,2007.22641509434
2007,13,3.54227678571429,-0.396545317761321,2007.24528301887
2007,14,3.61386904761905,-0.975863102814048,2007.2641509434
2007,15,3.63266369047619,-1.66398577919981,2007.28301886792
2007,16,4.18162202380952,-1.86627711183334,2007.30188679245
2007,17,5.52964285714286,-1.3021633656294,2007.32075471698
2007,18,6.19886904761905,-1.43783627760766,2007.33962264151
2007,19,7.32724702380952,-1.12426233659149,2007.35849056604
2007,20,8.16434523809524,-1.10236023053177,2007.37735849057
2007,21,8.70114583333333,-1.37209836733078,2007.39622641509
2007,22,10.2591666666667,-0.602913801558244,2007.41509433962
2007,23,10.8642261904762,-0.759942992545757,2007.43396226415
2007,24,12.148076814059,-0.202433190286182,2007.45283018868
2007,25,12.5594534632035,-0.473755384735228,2007.47169811321
2007,26,12.1186503623188,-1.54761823520409,2007.49056603774
2007,27,12.5256101190476,-1.71841750554232,2007.50943396226
2007,28,13.2382291666667,-1.52259556541074,2007.52830188679
2007,29,13.9345238095238,-1.27647491339917,2007.54716981132
2007,30,NA,NA,2007.56603773585
2007,31,15.7799421296296,-0.108304337030526,2007.58490566038
2007,32,15.3822916666667,-0.720262492960793,2007.60377358491
2007,33,15.1715476190476,-1.05355426090265,2007.62264150943
2007,34,14.6607622354497,-1.58845329015874,2007.64150943396
2007,35,15.4957407407407,-0.672480506278805,2007.66037735849
2007,36,14.9095502645503,-1.06683399788885,2007.67924528302
2007,37,14.0161507936508,-1.65836549207174,2007.69811320755
2007,38,NA,NA,2007.71698113208
2007,39,13.8981547619048,-0.864201492805117,2007.7358490566
2007,40,13.591044973545,-0.572218180387222,2007.75471698113
2007,41,13.7220105820106,0.245703562611043,2007.77358490566
2007,42,12.799417989418,0.089814072357106,2007.79245283019
2007,43,12.1665674603175,0.285007284981454,2007.81132075472
2007,44,10.6118882275132,-0.403219570395398,2007.83018867925
2007,45,9.12810846560846,-1.00517973132674,2007.84905660377
2007,46,8.09699074074074,-1.16215204383149,2007.8679245283
2007,47,7.14414682539683,-1.27142046662671,2007.88679245283
2007,48,6.79212301587302,-0.825799641679226,2007.90566037736
2007,49,5.45332175925926,-1.40917093462681,2007.92452830189
2007,50,4.26691137566138,-1.87344239314488,2007.94339622642
2007,51,2.04826223544974,-3.39428067493597,2007.96226415094
2007,52,2.98551587301587,-1.77458127368144,2007.98113207547
2008,1,3.00803497942387,-1.22032456476354,2008.01886792453
2008,2,3.26540343915344,-0.374144897426411,2008.03773584906
2008,3,2.89651124338624,-0.220887299388734,2008.05660377358
2008,4,2.72798941798942,0.0713820201683984,2008.07547169811
2008,5,1.88428571428571,-0.399733596304539,2008.09433962264
2008,6,2.09297996976568,0.0665012798107332,2008.11320754717
2008,7,1.82791666666667,-0.081303193264257,2008.1320754717
2008,8,2.35248015873016,0.413334814909968,2008.15094339623
2008,9,2.09387566137566,-0.0106286587624701,2008.16981132075
2008,10,2.3228234989648,-0.0690062769904323,2008.18867924528
2008,11,2.42712962962963,-0.360525068712362,2008.20754716981
2008,12,2.5687037037037,-0.709808458034353,2008.22641509434
2008,13,2.74175264550265,-1.10933508431204,2008.24528301887
2008,14,3.20775017253278,-1.2852935101936,2008.2641509434
2008,15,4.29767195767196,-0.895002796760318,2008.28301886792
2008,16,5.40521164021164,-0.533094379159271,2008.30188679245
2008,17,7.87628968253968,1.15802713055884,2008.32075471698
2008,18,7.9607208994709,0.439848714213888,2008.33962264151
2008,19,7.90759259259259,-0.427280866727921,2008.35849056604
2008,20,8.88755952380953,-0.263008437209882,2008.37735849057
2008,21,8.39871527777778,-1.56018196422128,2008.39622641509
2008,22,8.91782407407407,-1.83299213989795,2008.41509433962
2008,23,10.3873214285714,-1.12995836007944,2008.43396226415
2008,24,12.9115658068783,0.662303799883187,2008.45283018868
2008,25,13.8180638227513,0.879476327637306,2008.47169811321
2008,26,14.7516203703704,1.17253516099107,2008.49056603774
2008,27,14.4468121693122,0.281721225747334,2008.50943396226
2008,28,14.4434523809524,-0.247491119655911,2008.52830188679
2008,29,14.4646544312169,-0.686327252230413,2008.54716981132
2008,30,15.4324206349206,-0.107105101091873,2008.56603773585
2008,31,16.4843452380952,0.633815605688846,2008.58490566038
2008,32,16.4296097883598,0.352208720120155,2008.60377358491
2008,33,16.1239512471655,-0.0895147274085823,2008.62264150943
2008,34,14.7146362433862,-1.53741400600348,2008.64150943396
2008,35,14.6058267195767,-1.58065307108961,2008.66037735849
2008,36,15.4895304232804,-0.521106477108449,2008.67924528302
