"date","mean.sst","min.sst","max.sst","sd","ten","nine","month","year","doy"
2025-01-01,6.38489913043478,6.19499999999999,6.57100000000003,0.0857471380813265,6.26480000000001,6.50460000000001,1,2025,1
2025-01-02,5.94536695652174,5.66800000000001,6.29000000000002,0.147151191372187,5.74679999999998,6.15360000000001,1,2025,2
2025-01-03,5.59363478260869,5.32499999999999,6.30000000000001,0.237135685384624,5.363,5.94799999999998,1,2025,3
2025-01-04,5.56175130434783,5.33100000000002,6.24599999999998,0.217126672819554,5.36339999999999,5.89180000000001,1,2025,4
2025-01-05,5.57834260869565,5.33999999999997,6.14100000000002,0.212744122967697,5.37200000000001,5.92959999999999,1,2025,5
2025-01-06,5.59109913043478,5.327,6.24599999999998,0.243212168991569,5.36200000000002,6.0008,1,2025,6
2025-01-07,5.60979304347826,5.34699999999998,6.15300000000002,0.214575573182443,5.38400000000001,5.95060000000001,1,2025,7
2025-01-08,5.63551652173913,5.44,5.83199999999999,0.0988488586276658,5.4984,5.76400000000001,1,2025,8
2025-01-09,5.56087826086957,5.45600000000002,5.827,0.0737052643303147,5.48599999999999,5.67599999999999,1,2025,9
2025-01-10,5.46616347826087,5.28500000000003,5.80200000000002,0.132447837559893,5.32499999999999,5.67500000000001,1,2025,10
2025-01-11,5.50704,5.35000000000002,5.81200000000001,0.112124791105658,5.38680000000001,5.67979999999999,1,2025,11
2025-01-12,5.66029391304348,5.46600000000001,5.947,0.109580649254817,5.52539999999999,5.82959999999999,1,2025,12
2025-01-13,5.42257217391304,5.226,5.69400000000002,0.100870676120541,5.29399999999998,5.56400000000002,1,2025,13
2025-01-14,4.49568,4.27800000000002,4.87700000000001,0.123038499399557,4.33800000000002,4.66500000000002,1,2025,14
2025-01-15,4.28252,4.05599999999998,4.66300000000001,0.154633541849134,4.0924,4.49700000000001,1,2025,15
2025-01-16,4.34733565217391,4.077,4.73099999999999,0.159041117440782,4.14240000000001,4.565,1,2025,16
2025-01-17,4.45024695652174,4.238,4.827,0.150868998093277,4.2694,4.66000000000003,1,2025,17
2025-01-18,4.69778086956522,4.54700000000003,5.03300000000002,0.104475564300118,4.577,4.86019999999999,1,2025,18
2025-01-19,4.75285565217391,4.61900000000003,4.92399999999998,0.0723895652856683,4.6564,4.85359999999999,1,2025,19
2025-01-20,4.73114608695652,4.56999999999999,5.00599999999997,0.0957011147275569,4.61200000000002,4.86599999999999,1,2025,20
2025-01-21,4.56241565217391,4.37400000000002,4.87700000000001,0.110421173889272,4.41899999999998,4.7128,1,2025,21
2025-01-22,4.14535478260869,3.93799999999999,4.66800000000001,0.170558692649295,3.976,4.40459999999998,1,2025,22
2025-01-23,4.25644869565217,3.97500000000002,4.56799999999998,0.15080187660295,4.05500000000001,4.46459999999998,1,2025,23
2025-01-24,4.42097565217391,4.024,4.774,0.185321641759424,4.16239999999999,4.66560000000001,1,2025,24
2025-01-25,4.22809391304348,3.90899999999999,4.56700000000001,0.146129834213296,4.02999999999997,4.41500000000002,1,2025,25
2025-01-26,3.99815304347826,3.76600000000002,4.34800000000001,0.103462499157957,3.85939999999999,4.12099999999998,1,2025,26
2025-01-27,4.03362956521739,3.767,4.327,0.136632216329126,3.8568,4.23079999999998,1,2025,27
