"year","month","mean.anom","series"
2014,1,-1.44175360509322,"MUR"
2014,2,-1.1052212885278,"MUR"
2014,3,-1.63179155051178,"MUR"
2014,4,-1.41469784021797,"MUR"
2014,5,-0.635264887710441,"MUR"
2014,6,0.124760828712331,"MUR"
2014,7,-0.908774615390423,"MUR"
2014,8,-0.814054660661276,"MUR"
2014,9,-0.509865152407256,"MUR"
2014,10,-0.23724388622651,"MUR"
2014,11,0.252236732995945,"MUR"
2014,12,-0.242520119261318,"MUR"
2015,1,0.365535258874526,"MUR"
2015,2,-1.14676520145637,"MUR"
2015,3,-1.4556934298021,"MUR"
2015,4,-1.50477882581797,"MUR"
2015,5,-1.1686211291298,"MUR"
2015,6,-1.30513511415434,"MUR"
2015,7,-1.35992479829365,"MUR"
2015,8,-0.0757456013064373,"MUR"
2015,9,0.241549804926077,"MUR"
2015,10,-0.8713825113878,"MUR"
2015,11,-0.136966222970722,"MUR"
2015,12,0.673152082674166,"MUR"
2016,1,0.654625749745494,"MUR"
2016,2,0.222613793758863,"MUR"
2016,3,0.392002187200937,"MUR"
2016,4,-0.303862206231943,"MUR"
2016,5,-0.653271128418233,"MUR"
2016,6,-0.268551594582161,"MUR"
2016,7,-0.436835850744786,"MUR"
2016,8,-0.370800366591448,"MUR"
2016,9,0.214774329057648,"MUR"
2016,10,0.327094745535102,"MUR"
2016,11,0.545922555206415,"MUR"
2016,12,1.00615131052521,"MUR"
2017,1,0.674466422939042,"MUR"
2017,2,0.485670761222199,"MUR"
2017,3,-0.538321704737585,"MUR"
2017,4,-0.0155663620513045,"MUR"
2017,5,-1.20687504200076,"MUR"
2017,6,-0.436150011621003,"MUR"
2017,7,-0.908496410874294,"MUR"
2017,8,-1.6637816735645,"MUR"
2017,9,-1.00180886207392,"MUR"
2017,10,0.431651542483168,"MUR"
2017,11,0.127835515795944,"MUR"
2017,12,-0.733302447487124,"MUR"
2018,1,-0.860267321802893,"MUR"
2018,2,-0.00898923881351508,"MUR"
2018,3,0.159603456584996,"MUR"
2018,4,-0.764651753284638,"MUR"
2018,5,0.927124789096011,"MUR"
2018,6,-0.370898417287669,"MUR"
2018,7,-0.518953241196875,"MUR"
2018,8,0.399116895790337,"MUR"
2018,9,0.679769631592744,"MUR"
2018,10,-0.21901022654909,"MUR"
2018,11,-1.12618054220406,"MUR"
2018,12,-1.30358497210003,"MUR"
2019,1,-0.92737761635128,"MUR"
2019,2,-1.11996762388494,"MUR"
2019,3,-1.02121831067307,"MUR"
2019,4,-1.02881697081797,"MUR"
2019,5,-0.805501521645925,"MUR"
2019,6,-0.86340160628767,"MUR"
2019,7,0.4634047958999,"MUR"
2019,8,-0.173280580016115,"MUR"
2019,9,-0.630854774073923,"MUR"
2019,10,-0.399629355258768,"MUR"
2019,11,-0.270245295770722,"MUR"
2019,12,-0.272593331196802,"MUR"
2020,1,-0.133053408835151,"MUR"
2020,2,0.456429206000242,"MUR"
2020,3,1.12130322503965,"MUR"
2020,4,-0.205006438131943,"MUR"
2020,5,-0.704655532450491,"MUR"
2020,6,0.350583999751172,"MUR"
2020,7,1.29467208796489,"MUR"
2020,8,0.698595033731133,"MUR"
2020,9,-0.916697670609019,"MUR"
2020,10,-0.597281356077802,"MUR"
2020,11,-0.313640980360252,"MUR"
2020,12,-1.00367500086189,"MUR"
2021,1,-0.341297952931925,"MUR"
2021,2,-0.385518493492087,"MUR"
2021,3,0.191466794617254,"MUR"
2021,4,0.704833463948696,"MUR"
2021,5,0.605852418483107,"MUR"
2021,6,0.821767147712331,"MUR"
2021,7,-0.578540506358165,"MUR"
2021,8,0.952516446112918,"MUR"
2021,9,0.918308181592744,"MUR"
2021,10,1.52771044796704,"MUR"
2021,11,1.14660392162928,"MUR"
2021,12,0.732585743254811,"MUR"
2022,1,0.682716240713236,"MUR"
2022,2,-0.0376084933849438,"MUR"
2022,3,0.085559922165641,"MUR"
2022,4,-0.0642703039846378,"MUR"
2022,5,0.33035940409601,"MUR"
2022,6,0.730303553712331,"MUR"
2022,7,-0.347155485390423,"MUR"
2022,8,0.793571763209692,"MUR"
2022,9,-0.00274347140725582,"MUR"
2022,10,0.312925931192845,"MUR"
2022,11,1.04643499376261,"MUR"
2022,12,-0.200127188132286,"MUR"
2023,1,-0.0297248253190222,"MUR"
2023,2,0.514509456936485,"MUR"
2023,3,0.193377593875318,"MUR"
2023,4,0.526546623448696,"MUR"
2023,5,0.626620498289559,"MUR"
2023,6,0.68486743771233,"MUR"
2023,7,1.89789029364184,"MUR"
2023,8,0.0385736138548531,"MUR"
2023,9,0.616267833592744,"MUR"
2023,10,1.1689006302251,"MUR"
2023,11,0.144267284362611,"MUR"
2023,12,-0.714512826358092,"MUR"
2024,1,-1.00790743406096,"MUR"
2024,2,-0.667401978413551,"MUR"
2024,3,0.616877699071905,"MUR"
2024,4,0.13644422850139,"MUR"
2024,5,0.995645898259187,"MUR"
2024,6,0.935478435751172,"MUR"
2024,7,0.13494490731973,"MUR"
2024,8,-0.0879723711075764,"MUR"
2024,9,-0.00353894760901869,"MUR"
2024,10,0.213138616180263,"MUR"
2024,11,0.196971540639748,"MUR"
2024,12,-0.341013514248984,"MUR"
2025,1,-0.438826031480312,"MUR"
2025,2,-0.244408058634944,"MUR"
2025,3,-0.0686562348988751,"MUR"
2025,4,-1.00089523161797,"MUR"
2025,5,-0.754721886549151,"MUR"
2025,6,0.880493060712331,"MUR"
2025,7,0.53171767138377,"MUR"
2025,8,0.0951176241774341,"MUR"
2025,9,0.285122615926077,"MUR"
2025,10,0.123369241515426,"MUR"
2025,11,-0.214063614837389,"MUR"
2025,12,-0.836871535938737,"MUR"
2026,1,-1.02656415630605,"MUR"
