"","doy","smooth.daily","smooth.upper","smooth.lower"
"1",151,11.3586173995684,11.6940603725037,11.0231744266332
"2",152,11.454490751092,11.7548796183903,11.1541018837936
"3",153,11.5505470560514,11.8182717139827,11.2828223981201
"4",154,11.6469692678827,11.8853715112592,11.4085670245062
"5",155,11.7439403400218,11.9574042080864,11.5304764719572
"6",156,11.8416432259046,12.0355679928591,11.6477184589501
"7",157,11.9402608789671,12.1207778344014,11.7597439235328
"8",158,12.0399762526451,12.2133177460395,11.8666347592508
"9",159,12.1409723003747,12.3126204710491,11.9693241297003
"10",160,12.2434319755916,12.4173967634493,12.069467187734
"11",161,12.347538231732,12.52604260425,12.169033859214
"12",162,12.4534740222316,12.6370350027495,12.2699130417137
"13",163,12.5614223005264,12.7491460677448,12.3736985333081
"14",164,12.6715660200524,12.8615050960067,12.4816269440982
"15",165,12.7840776235069,12.973606389324,12.5945488576898
"16",166,12.8988107825919,13.0853579566706,12.7122636085132
"17",167,13.0152506362361,13.1970126830716,12.8334885894006
"18",168,13.132861794582,13.3090042914236,12.9567192977404
"19",169,13.2511088677717,13.4218453341541,13.0803724013893
"20",170,13.3694564659476,13.5360009894264,13.2029119424689
"21",171,13.4873691992521,13.6517227039254,13.3230156945788
"22",172,13.6043116778273,13.7688748261467,13.4397485295079
"23",173,13.7197485118157,13.8868292430232,13.5526677806083
"24",174,13.8331443113595,14.0044889463641,13.661799676355
"25",175,13.9439636866011,14.1204266399962,13.767500733206
"26",176,14.0516712476828,14.2330643164018,13.8702781789638
"27",177,14.1557316047468,14.3408291729355,13.9706340365581
"28",178,14.2556093679355,14.442270333338,14.068948402533
"29",179,14.3508933950332,14.5364048671487,14.1653819229176
"30",180,14.4418677967425,14.6239165168544,14.2598190766305
"31",181,14.5290583842572,14.7062097204204,14.351907048094
"32",182,14.6129912114421,14.7848322254051,14.4411501974791
"33",183,14.6941923321622,14.861363002263,14.5270216620613
"34",184,14.7731878002822,14.9372638984065,14.6091117021579
"35",185,14.8505036696672,15.013700043697,14.6873072956373
"36",186,14.9266659941819,15.0913852552878,14.7619467330759
"37",187,15.0022008276912,15.1705311441795,14.8338705112029
"38",188,15.0776342240601,15.2509306491034,14.9043377990168
"39",189,15.1534922371534,15.3321264667221,14.9748580075846
"40",190,15.2303009208359,15.4135854542974,15.0470163873745
"41",191,15.3085863289727,15.4948354658673,15.1223371920781
"42",192,15.3888658981484,15.5755682653333,15.2021635309636
"43",193,15.471140028146,15.6556089370301,15.2866711192618
"44",194,15.5546077117048,15.7348662767008,15.3743491467087
"45",195,15.6383990033241,15.8134302146287,15.4633677920195
"46",196,15.7216439575032,15.89148737022,15.5518005447864
"47",197,15.8034726287413,15.969196097642,15.6377491598405
"48",198,15.8830150715376,16.0465208422228,15.7195093008523
"49",199,15.9594013403913,16.1230531233855,15.7957495573972
"50",200,16.0317614898018,16.1978925531129,15.8656304264907
"51",201,16.0992255742682,16.2696551867396,15.9287959617968
"52",202,16.1609236482898,16.3366040786748,15.9852432179047
"53",203,16.2159857663658,16.3968299435128,16.0351415892188
"54",204,16.2635419829954,16.448412360892,16.0786716050988
"55",205,16.3027223526779,16.4895404698359,16.1159042355198
"56",206,16.3328399830605,16.5188792858725,16.1468006802485
"57",207,16.3546617333217,16.5374900289853,16.1718334376582
"58",208,16.3696477163988,16.5476918137003,16.1916036190972
"59",209,16.37926231469,16.5519645704858,16.2065600588942
"60",210,16.3849699105939,16.5528347105578,16.2171051106301
"61",211,16.3882348865089,16.5527321456111,16.2237376274068
"62",212,16.3905216248335,16.5538120581231,16.2272311915438
"63",213,16.3932945079659,16.5577917643786,16.2287972515533
"64",214,16.3980179183048,16.5658827129316,16.230153123678
"65",215,16.4061562382484,16.5788584861084,16.2334539903884
"66",216,16.4191738501952,16.5972179369699,16.2411297634206
"67",217,16.4385351365437,16.621363419015,16.2557068540725
"68",218,16.4657044796923,16.6517437664633,16.2796651929213
"69",219,16.5021403398435,16.6889584378024,16.3153222418846
"70",220,16.5483395606497,16.7332099157627,16.3634692055367
"71",221,16.6027824780782,16.7836266283821,16.4219383277744
"72",222,16.6636955139496,16.839375912986,16.4880151149131
"73",223,16.7293050900842,16.899734666385,16.5588755137835
"74",224,16.7978376283027,16.9639686505536,16.6317066060517
"75",225,16.8675195504254,17.0311712877463,16.7038678131046
"76",226,16.936577278273,17.1000829992893,16.7730715572567
"77",227,17.0032372336658,17.1689606497281,16.8375138176036
"78",228,17.0657258384245,17.2355691959677,16.8958824808812
"79",229,17.1222695143694,17.2973006688581,16.9472383598807
"80",230,17.1710946833211,17.351353190383,16.9908361762592
"81",231,17.2104277671001,17.3948966173818,17.0259589168184
"82",232,17.2384951875268,17.4251974960057,17.0517928790479
"83",233,17.2536716895234,17.4399207685727,17.0674226104742
"84",234,17.2560562740688,17.4393407521919,17.0727717959458
"85",235,17.2468603654042,17.4254945445186,17.0682261862898
"86",236,17.2273139281585,17.4006103105822,17.0540175457348
"87",237,17.1986469269606,17.3669772117782,17.030316642143
"88",238,17.1620893264394,17.3268085693868,16.997370083492
"89",239,17.1188710912239,17.2820674617118,16.9556747207361
"90",240,17.070222185943,17.2342982940332,16.9061460778529
"91",241,17.0173725752257,17.1845432652606,16.8502018851908
