Date,Simple Date,Outdoor Temperature (??F),Feels Like (??F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (??),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-08-08T07:15:00-04:00,8/8/2025 07:15,67.6,67.6,0,0,5.8,156,0,0,0,0,0.1,180.87,30.56,72,0,98.8,30.14,1
2025-08-08T07:10:00-04:00,8/8/2025 07:10,67.8,67.8,0,0,5.8,156,0,0,0,0,0.1,180.87,30.55,72,0,86.2,30.13,1
2025-08-08T07:05:00-04:00,8/8/2025 07:05,67.5,67.5,0,0,5.8,156,0,0,0,0,0.1,180.87,30.56,74,0,77.2,30.14,1
2025-08-08T07:00:00-04:00,8/8/2025 07:00,66.9,66.9,0,0,5.8,156,0,0,0,0,0.1,180.87,30.56,75,0,72.4,30.14,1
2025-08-08T06:55:00-04:00,8/8/2025 06:55,67.5,67.5,0.4,1.1,5.8,156,0,0,0,0,0.1,180.87,30.56,75,0,66.3,30.14,1
2025-08-08T06:50:00-04:00,8/8/2025 06:50,66.2,66.2,0,0,5.8,143,0,0,0,0,0.1,180.87,30.56,75,0,62,30.14,1
2025-08-08T06:45:00-04:00,8/8/2025 06:45,65.7,65.7,0,0,5.8,128,0,0,0,0,0.1,180.87,30.56,76,0,58.1,30.14,1
2025-08-08T06:40:00-04:00,8/8/2025 06:40,64.9,64.9,0,0,5.8,137,0,0,0,0,0.1,180.87,30.56,78,0,52.5,30.14,1
2025-08-08T06:35:00-04:00,8/8/2025 06:35,64.4,64.4,0,0,5.8,141,0,0,0,0,0.1,180.87,30.56,80,0,47.7,30.14,1
2025-08-08T06:30:00-04:00,8/8/2025 06:30,63.7,63.7,0.7,1.1,5.8,128,0,0,0,0,0.1,180.87,30.55,82,0,42.9,30.14,1
2025-08-08T06:25:00-04:00,8/8/2025 06:25,63.5,63.5,0.2,1.1,5.8,154,0,0,0,0,0.1,180.87,30.55,83,0,37.7,30.14,1
2025-08-08T06:20:00-04:00,8/8/2025 06:20,64.2,64.2,0.7,1.1,5.8,181,0,0,0,0,0.1,180.87,30.55,83,0,33.8,30.14,1
2025-08-08T06:15:00-04:00,8/8/2025 06:15,64,64,0,0,5.8,147,0,0,0,0,0.1,180.87,30.56,85,0,29,30.14,1
2025-08-08T06:10:00-04:00,8/8/2025 06:10,63,63,0,0,5.8,143,0,0,0,0,0.1,180.87,30.55,86,0,24.2,30.13,1
2025-08-08T06:05:00-04:00,8/8/2025 06:05,62.4,62.4,0,0,5.8,142,0,0,0,0,0.1,180.87,30.55,86,0,20.3,30.14,1
2025-08-08T06:00:00-04:00,8/8/2025 06:00,62.1,62.1,0,0,5.8,148,0,0,0,0,0.1,180.87,30.55,86,0,16,30.14,1
