date [EST],CDOM [QSDE],current speed [mm/s],fluorescence [ug/L],salinity [PSU],temperature [C]
6/24/2025 02:00,2.55,87.4185,11.55,28.65,15.62
6/24/2025 03:00,2.47,65.5034,10.19,28.69,15.35
6/24/2025 04:00,2.77,144.002,11.06,,
6/24/2025 05:00,2.62,98.1178,8.92,28.68,15.13
6/24/2025 06:00,2.67,162.621,9.66,28.8,14.48
6/24/2025 07:00,2.41,203.785,7.98,28.79,14.66
6/24/2025 08:00,2.5,223.683,4.84,28.74,15.05
6/24/2025 09:00,2.16,163.296,4.09,28.73,14.9
6/24/2025 10:00,2.07,93.1263,4.61,28.64,15.51
6/24/2025 11:00,2.11,66.9631,3.53,28.54,16.01
6/24/2025 12:00,2.16,183.645,5.13,28.63,15.67
6/24/2025 13:00,2.17,79.5295,32.7,28.72,16.63
6/24/2025 14:00,2.29,48.6467,5.9,28.72,16.17
6/24/2025 15:00,2.49,43.1911,7.89,28.75,15.9
6/24/2025 16:00,2.32,34.8588,8.3,28.75,15.88
6/24/2025 17:00,2.29,137.732,10.2,28.76,16.12
6/24/2025 18:00,2.15,163.171,9.76,28.71,15.9
6/24/2025 19:00,2.15,182.136,10.47,28.7,15.89
6/24/2025 20:00,2.13,265.362,8.14,28.61,16.1
6/24/2025 21:00,2.16,167.801,9.49,28.63,15.6
6/24/2025 22:00,2.18,116.728,7.37,28.62,15.87
6/24/2025 23:00,2.23,20.5007,8.34,28.56,16.03
6/25/2025 00:00,2.21,172.937,8.52,28.61,15.7
6/25/2025 01:00,2.3,257.943,9,28.66,15.19
6/25/2025 02:00,2.43,291.608,9.72,28.65,15.83
6/25/2025 03:00,2.85,112.431,12.29,28.58,15.89
6/25/2025 04:00,2.49,38.19,9.32,,
6/25/2025 05:00,2.79,150.156,10.9,28.83,15.01
6/25/2025 06:00,2.55,90.5247,9.37,28.8,15.12
6/25/2025 07:00,2.48,176.312,9.14,28.83,15.2
6/25/2025 08:00,2.45,200.807,10.53,28.85,15.25
6/25/2025 09:00,2.16,171.486,10.29,28.62,15.76
6/25/2025 10:00,2.08,188.07,7.94,28.61,16
6/25/2025 11:00,2.12,113.306,4.91,28.63,15.78
6/25/2025 12:00,2.02,48.8265,4.03,28.55,16.23
6/25/2025 13:00,2.07,236.254,6.75,28.54,16.39
6/25/2025 14:00,2.76,228.965,10.05,28.64,16.39
6/25/2025 15:00,2.28,229.329,8.16,28.73,16.5
6/25/2025 16:00,2.4,41.0271,14.93,28.77,17.16
6/25/2025 17:00,3,48.3006,13.69,29.02,16.31
6/25/2025 18:00,2.3,56.3839,14.91,28.77,16.5
6/25/2025 19:00,3.25,156.854,10.94,28.61,16.42
6/25/2025 20:00,2.33,221.611,10.03,28.69,15.9
6/25/2025 21:00,2.13,198.78,8.65,28.38,16.33
6/25/2025 22:00,2.19,134.596,11.2,28.41,16.71
6/25/2025 23:00,2.5,127.246,8.72,28.42,16.6
6/26/2025 00:00,2.17,100.625,8.19,28.41,16.6
6/26/2025 01:00,2.24,236.897,8.58,28.5,16.35
6/26/2025 02:00,2.26,209.135,7.06,28.43,16.35
6/26/2025 03:00,2.39,233.458,11.45,28.71,16.14
6/26/2025 04:00,2.59,180.156,10.93,,
6/26/2025 05:00,3.09,47.1216,10.49,28.77,15.84
6/26/2025 06:00,2.73,145.987,9.84,28.85,15.02
6/26/2025 07:00,2.41,54.5858,5.95,28.74,15.44
6/26/2025 08:00,4.95,187.086,5.59,28.78,15.36
6/26/2025 09:00,2.28,190.465,5.02,18.17,15.62
6/26/2025 10:00,2.21,219.741,3.91,18.14,16.28
6/26/2025 11:00,2.52,222.106,6.79,28.51,16.23
6/26/2025 12:00,2.09,137.904,7.09,28.25,16.63
6/26/2025 13:00,2.16,46.4701,7.97,28.32,16.43
6/26/2025 14:00,3.07,187.727,13.72,28.55,15.99
6/26/2025 15:00,2.28,131.505,13.79,28.61,15.62
6/26/2025 16:00,2.24,41.7948,19.16,28.56,15.88
6/26/2025 17:00,2.38,95.9202,14.83,28.69,15.67
6/26/2025 18:00,2.63,74.8395,18.13,28.99,15.23
6/26/2025 19:00,2.34,93.3098,14.41,28.74,15.72
6/26/2025 20:00,2.33,156.728,11.06,28.56,15.84
6/26/2025 21:00,2.17,166.47,10.16,28.45,15.83
6/26/2025 22:00,2.23,219.049,14.65,28.51,15.69
6/26/2025 23:00,2.31,330.24,9.12,28.37,16.01
6/27/2025 00:00,2.15,226.97,8.16,28.31,16.09
6/27/2025 01:00,2.12,42.9017,8.35,28.32,16.23
6/27/2025 02:00,3.03,95.0054,7.82,28.39,15.93
6/27/2025 03:00,2.26,185.561,9.21,28.49,15.48
6/27/2025 04:00,2.33,128.379,8.17,,
6/27/2025 05:00,2.83,154.175,10.04,28.62,15.27
6/27/2025 06:00,2.28,136.837,6.94,28.55,15.42
6/27/2025 07:00,2.62,35.1268,7.51,28.67,15.16
6/27/2025 08:00,2.8,94.7851,3.77,28.54,15.64
6/27/2025 09:00,2.11,149.2,3.72,28.59,15.86
6/27/2025 10:00,2.1,92.7464,5.02,28.63,15.84
6/27/2025 11:00,2.13,182.675,3.8,28.55,16.43
6/27/2025 12:00,2.07,223.522,3.09,28.3,16.44
6/27/2025 13:00,2.23,108.393,4.36,28.05,16.62
6/27/2025 14:00,2.21,54.2886,4.24,28.02,16.66
6/27/2025 15:00,2.13,98.2435,7.61,28.3,16.49
6/27/2025 16:00,2.18,119.882,8.53,28.19,16.71
6/27/2025 17:00,2.22,15.8368,7.42,28.35,16.47
6/27/2025 18:00,2.16,101.049,10.82,28.56,16.27
6/27/2025 19:00,2.13,95.1659,10.8,28.65,16.17
6/27/2025 20:00,2.27,112.251,9.32,28.29,16.31
6/27/2025 21:00,2.27,175.406,8.5,28.23,16.4
6/27/2025 22:00,2.34,150.392,8.34,28.02,16.48
6/27/2025 23:00,2.54,231.209,7.37,27.97,16.46
6/28/2025 00:00,2.38,355.516,7.4,28.08,16.02
6/28/2025 01:00,2.59,175.011,7.67,27.79,16.11
6/28/2025 02:00,2.74,106.295,6.41,27.77,15.99
6/28/2025 03:00,2.54,70.6338,7.26,27.87,15.85
6/28/2025 04:00,2.51,114.533,8.22,,
6/28/2025 05:00,3.11,148.008,7.33,28.21,15.85
6/28/2025 06:00,2.53,78.9543,8.22,28.35,15.82
6/28/2025 07:00,2.49,100.932,8.98,28.22,15.79
6/28/2025 08:00,2.66,54.9672,9.65,28.2,15.74
6/28/2025 09:00,2.57,130.742,22.71,28.24,15.7
6/28/2025 10:00,2.52,171.133,11.23,28.06,15.6
6/28/2025 11:00,3.05,182.999,11.39,27.96,15.69
6/28/2025 12:00,2.55,232.545,11.96,28.01,15.51
6/28/2025 13:00,2.56,308.09,15.15,27.95,15.54
6/28/2025 14:00,2.55,193.833,14.3,28,15.5
6/28/2025 15:00,2.59,30.7941,14.56,28,15.44
6/28/2025 16:00,2.52,96.5334,14.62,27.86,15.4
6/28/2025 17:00,2.52,169.471,13.35,28.21,15.5
6/28/2025 18:00,2.57,80.2816,17,28.08,15.54
6/28/2025 19:00,2.57,98.1587,15.9,28.11,15.55
6/28/2025 20:00,4,7.48703,14.26,28.17,15.57
6/28/2025 21:00,2.56,107.476,12.02,28.21,15.53
6/28/2025 22:00,2.63,263.963,11.03,28.24,15.41
6/28/2025 23:00,2.56,296.471,10.3,28.29,15.15
6/29/2025 00:00,2.47,336.459,10.45,28.21,15.22
6/29/2025 01:00,2.49,364.443,9.75,28.26,15.11
6/29/2025 02:00,2.76,207.028,9.83,28.27,15.15
6/29/2025 03:00,2.52,81.6391,9.61,28.29,15.05
6/29/2025 04:00,2.57,261.585,14.84,,
6/29/2025 05:00,2.87,211.318,9.91,28.31,15.33
6/29/2025 06:00,2.67,177.104,12.78,28.31,15.47
6/29/2025 07:00,2.88,173.425,13.68,28.43,15.44
6/29/2025 08:00,2.92,106.161,14.04,28.46,15.38
6/29/2025 09:00,2.8,34.3661,13.51,28.41,15.47
6/29/2025 10:00,2.96,83.6477,10.37,28.48,15.53
6/29/2025 11:00,2.59,181.199,7.11,28.39,15.59
6/29/2025 12:00,2.09,232.522,4.11,28.28,15.88
6/29/2025 13:00,2.32,354.607,7.67,28.15,15.95
6/29/2025 14:00,3.35,261.299,7.73,28.06,15.57
6/29/2025 15:00,2.47,119.272,12.11,27.95,15.51
6/29/2025 16:00,2.78,32.503,17.83,28,15.8
6/29/2025 17:00,3.09,78.805,14.84,28.25,16.16
6/29/2025 18:00,2.44,194.562,11.27,28.23,15.59
6/29/2025 19:00,2.52,104.697,12.18,28.25,15.74
6/29/2025 20:00,2.75,46.63,12.4,28.21,15.7
6/29/2025 21:00,2.58,16.3783,10.67,28.17,15.7
6/29/2025 22:00,2.55,54.5601,10.88,28.21,15.71
6/29/2025 23:00,2.73,207.577,10.17,28.28,15.38
6/30/2025 00:00,2.59,215.261,9.09,28,15.26
6/30/2025 01:00,2.72,253.216,8.83,27.88,15.18
6/30/2025 02:00,2.69,230.402,8.63,27.98,15.04
6/30/2025 03:00,2.74,152.274,9,27.99,15.13
6/30/2025 04:00,2.67,7.38053,9.11,,
6/30/2025 05:00,3.06,113.951,8.09,28.02,15.1
6/30/2025 06:00,2.57,110.443,7.55,28.17,15.22
6/30/2025 07:00,2.68,179.019,7.3,28.21,15.39
6/30/2025 08:00,2.64,16.195,5.74,28.22,15.55
6/30/2025 09:00,2.52,22.0164,5.76,28.32,15.77
6/30/2025 10:00,2.55,112.32,5.2,28.29,16.06
6/30/2025 11:00,2.33,164.351,4.89,28.23,16.05
6/30/2025 12:00,2.32,157.659,4.21,28.24,16.04
6/30/2025 13:00,2.36,186.029,9.51,28.12,16.13
6/30/2025 14:00,2.17,172.019,3.96,28.2,16.59
6/30/2025 15:00,2.25,224.75,4.52,28.07,16.55
6/30/2025 16:00,2.46,147.736,22.31,27.86,16.8
6/30/2025 17:00,2.53,52.3837,7.12,27.71,16.34
6/30/2025 18:00,2.4,94.9974,11.53,28.03,16.84
6/30/2025 19:00,2.4,124.567,8.57,28.08,16.4
6/30/2025 20:00,2.51,29.7256,8.3,28.07,16.44
6/30/2025 21:00,2.4,73.3277,8.89,28.19,16.38
6/30/2025 22:00,2.81,63.1686,8.46,28.07,16.34
6/30/2025 23:00,2.45,96.0362,7.73,28.14,16.37
7/1/2025 00:00,2.56,164.163,7.22,27.93,16.13
7/1/2025 01:00,2.74,130.697,6.98,27.69,16.1
7/1/2025 02:00,2.72,154.409,6.81,27.74,15.96
7/1/2025 03:00,2.73,96.9083,6.64,27.65,16
7/1/2025 04:00,2.75,65.673,6.16,,
7/1/2025 05:00,2.73,23.7446,6.08,27.71,15.98
7/1/2025 06:00,2.6,63.4648,6.8,28.01,15.82
7/1/2025 07:00,3.45,77.6334,8.11,27.95,16.04
7/1/2025 08:00,3.77,34.02,6.79,28,16.08
7/1/2025 09:00,2.58,20.5372,7.65,28.03,16.08
7/1/2025 10:00,2.8,31.1671,8.03,28.14,16.24
7/1/2025 11:00,2.51,35.8287,8.42,28.14,16.34
7/1/2025 12:00,2.5,112.362,5.89,28.25,16.27
7/1/2025 13:00,2.51,151.819,15.92,28.12,16.44
7/1/2025 14:00,2.41,205.7,4.3,28.05,16.45
7/1/2025 15:00,2.41,168.411,10.46,28.07,16.35
7/1/2025 16:00,2.47,135.743,21.82,28.08,16.65
7/1/2025 17:00,2.38,167.72,7.43,28.11,16.21
7/1/2025 18:00,2.41,57.6975,13.13,28.32,17.1
7/1/2025 19:00,2.98,80.2705,14.66,28.33,17.04
7/1/2025 20:00,2.58,73.6239,8.27,28.22,16.66
7/1/2025 21:00,2.62,61.6182,8.08,28.16,16.62
7/1/2025 22:00,3.19,94.2728,35.41,28.17,16.54
7/1/2025 23:00,2.64,20.5535,7.98,28.16,16.57
7/2/2025 00:00,2.64,64.8556,8.14,28.18,16.59
7/2/2025 01:00,2.68,126.768,14.12,28.24,16.4
7/2/2025 02:00,2.66,141.269,6.18,28.2,16.42
7/2/2025 03:00,2.47,140.681,5.98,28.14,16.55
7/2/2025 04:00,2.46,75.6736,6.46,,
7/2/2025 05:00,2.64,47.3829,6.62,28.19,16.43
7/2/2025 06:00,2.46,132.063,6.6,28.2,16.46
7/2/2025 07:00,2.45,106.276,5.39,28.17,16.47
7/2/2025 08:00,2.7,112.688,4.1,28.24,16.62
7/2/2025 09:00,2.6,45.656,4.79,28.26,16.99
7/2/2025 10:00,2.67,67.3038,10.96,28.28,16.88
7/2/2025 11:00,2.58,82.7328,7.6,28.31,17.07
7/2/2025 12:00,2.48,91.1051,5.02,28.24,17.4
7/2/2025 13:00,2.41,139.512,9.82,28.28,16.85
7/2/2025 14:00,2.58,181.623,4.83,28.25,17.41
7/2/2025 15:00,2.29,181.618,5.98,28.27,17.33
7/2/2025 16:00,2.47,139.869,8.8,28.31,16.85
7/2/2025 17:00,2.28,63.514,6.73,28.24,17.71
7/2/2025 18:00,2.44,19.0212,8.46,28.33,17.4
7/2/2025 19:00,2.61,42.5,8.32,28.37,17.34
7/2/2025 20:00,2.51,17.8053,8.17,28.34,17.19
7/2/2025 21:00,2.42,73.7661,6.73,28.29,17.19
7/2/2025 22:00,2.44,16.0433,8.46,28.35,17.19
7/2/2025 23:00,2.56,63.7602,9.44,28.36,17.07
7/3/2025 00:00,2.5,65.416,6.53,28.29,17.13
7/3/2025 01:00,2.53,158.611,7.2,28.35,16.99
7/3/2025 02:00,2.71,128.64,6.74,28.19,16.85
7/3/2025 03:00,2.48,88.8952,5.48,28.13,16.91
7/3/2025 04:00,2.57,117.116,5.14,,
7/3/2025 05:00,2.44,41.5545,4.96,28.19,16.89
7/3/2025 06:00,2.56,21.2453,6.12,28.47,16.61
7/3/2025 07:00,2.4,85.8231,10.18,28.5,16.8
7/3/2025 08:00,2.68,25.16,5.06,28.45,16.86
7/3/2025 09:00,2.32,68.8577,4.34,28.48,17.49
7/3/2025 10:00,2.37,41.0582,67.74,28.53,17.51
7/3/2025 11:00,2.68,54.4207,5.19,28.51,17.34
7/3/2025 12:00,2.53,25.7515,8.56,28.49,18.16
7/3/2025 13:00,2.32,95.7086,20.76,28.43,17.96
7/3/2025 14:00,2.74,156.788,9.3,28.46,17.14
7/3/2025 15:00,2.22,157.011,5.33,28.41,17.68
7/3/2025 16:00,2.15,188.897,8.13,28.38,18.28
7/3/2025 17:00,2.23,229.224,6.56,28.42,17.52
7/3/2025 18:00,2.21,119.859,6.73,28.43,17.28
7/3/2025 19:00,2.35,79.731,8.68,28.39,17.43
7/3/2025 20:00,2.33,42.0677,7.96,28.44,17.71
7/3/2025 21:00,2.32,70.4393,7.5,28.43,17.72
7/3/2025 22:00,2.72,135.873,9.6,28.51,17.56
7/3/2025 23:00,2.51,102.212,8.75,28.47,17.88
7/4/2025 00:00,2.59,51.6683,10.15,28.5,17.82
7/4/2025 01:00,2.7,23.632,10.23,28.51,17.5
7/4/2025 02:00,2.48,45.0793,8.25,28.48,17.54
7/4/2025 03:00,2.46,112.931,6.94,28.45,17.36
7/4/2025 04:00,2.39,138.025,5.73,,
7/4/2025 05:00,2.42,111.48,6.4,28.36,17.03
7/4/2025 06:00,2.41,102.204,5.94,28.34,17.23
7/4/2025 07:00,2.48,59.6855,4.25,28.47,17.25
7/4/2025 08:00,2.56,64.2316,3.89,28.45,17.11
7/4/2025 09:00,2.47,107.594,5.2,28.55,17.47
7/4/2025 10:00,2.53,71.0356,5.13,28.56,17.46
7/4/2025 11:00,2.46,86.0245,5.22,28.58,17.51
7/4/2025 12:00,2.48,62.7749,5.79,28.62,17.24
7/4/2025 13:00,2.66,66.9189,7.95,28.67,17.09
7/4/2025 14:00,2.59,39.4141,6.74,28.65,17.19
7/4/2025 15:00,2.46,119.546,6.41,28.59,17.6
7/4/2025 16:00,2.43,142.244,8.47,28.54,17.73
7/4/2025 17:00,2.38,140.183,7.54,28.53,17.8
7/4/2025 18:00,2.34,77.979,8.62,28.56,17.7
7/4/2025 19:00,2.47,51.6096,8.75,28.6,17.6
7/4/2025 20:00,2.46,143.321,9.79,28.63,17.35
7/4/2025 21:00,2.66,161.392,9.08,28.59,17.27
7/4/2025 22:00,2.52,164.403,9.38,28.64,16.88
7/4/2025 23:00,2.46,121.49,9.12,28.6,16.99
7/5/2025 00:00,2.48,77.3592,8.54,28.59,16.87
7/5/2025 01:00,2.94,81.0495,9.71,28.72,16.22
7/5/2025 02:00,2.85,86.2261,9.44,28.66,16.49
7/5/2025 03:00,2.57,151.892,7.88,28.61,16.6
7/5/2025 04:00,2.61,162.868,7.7,,
7/5/2025 05:00,2.55,161.518,7.81,28.61,16.46
7/5/2025 06:00,2.48,147.752,6.04,28.63,16.35
7/5/2025 07:00,2.71,117.608,6.31,28.64,16.41
7/5/2025 08:00,2.56,18.1123,5.08,28.6,16.64
7/5/2025 09:00,2.54,123.483,4.65,28.64,16.37
7/5/2025 10:00,2.37,163.358,4.87,28.62,17.02
7/5/2025 11:00,2.36,55.8291,4.75,28.65,17.02
7/5/2025 12:00,2.98,36.2648,5.97,28.68,16.59
7/5/2025 13:00,2.57,27.208,6.6,28.72,16.32
7/5/2025 14:00,2.4,82.9774,6.07,28.67,16.83
7/5/2025 15:00,2.36,127.595,5.96,28.72,16.62
7/5/2025 16:00,2.28,139.908,8.15,28.62,16.75
7/5/2025 17:00,2.14,130.065,8.16,28.56,16.79
7/5/2025 18:00,2.11,127.372,7.87,28.53,16.69
7/5/2025 19:00,2.26,87.5635,5.76,28.57,16.66
7/5/2025 20:00,2.51,10.0678,6,28.59,16.46
7/5/2025 21:00,2.39,92.9284,5.68,28.61,16.39
7/5/2025 22:00,2.38,133.302,7.28,28.59,16.56
7/5/2025 23:00,2.36,140.322,7.17,28.59,16.42
7/6/2025 00:00,2.3,68.842,7.14,28.59,16.33
7/6/2025 01:00,2.35,33.9026,6.55,28.61,16.35
7/6/2025 02:00,2.59,89.2419,6.82,28.64,16.32
7/6/2025 03:00,2.45,56.0488,7,28.65,16.31
7/6/2025 04:00,2.47,111.741,6.28,,
7/6/2025 05:00,2.55,111.886,6.34,28.63,16.02
7/6/2025 06:00,2.43,139.524,6.4,28.63,15.95
7/6/2025 07:00,2.42,129.732,4.09,28.63,16.07
7/6/2025 08:00,2.27,34.9364,3.2,28.62,16.13
7/6/2025 09:00,2.34,18.2855,4.09,28.65,16.42
7/6/2025 10:00,2.33,108.63,4.21,28.69,16.33
7/6/2025 11:00,2.2,91.4058,3.77,28.65,16.44
7/6/2025 12:00,2.23,43.7293,6.06,28.71,16.64
7/6/2025 13:00,2.26,55.6789,4.33,28.7,16.66
7/6/2025 14:00,2.3,48.074,7.8,28.72,16.56
7/6/2025 15:00,2.33,115.412,4.88,28.71,16.62
7/6/2025 16:00,2.28,133.718,5.1,28.7,16.63
7/6/2025 17:00,2.18,180.902,5.96,28.76,16.63
7/6/2025 18:00,2.21,147.94,7.21,28.72,16.76
7/6/2025 19:00,2.24,138.267,7.24,28.75,16.38
7/6/2025 20:00,2.19,107.675,6.32,28.72,16.64
7/6/2025 21:00,2.41,52.5042,6.86,28.76,16.34
7/6/2025 22:00,2.48,83.2274,7.85,28.77,16.31
7/6/2025 23:00,2.4,77.735,7.57,28.77,16.27
7/7/2025 00:00,2.31,114.436,6.87,28.72,16.35
7/7/2025 01:00,2.48,112.683,7.48,28.71,16.61
7/7/2025 02:00,2.45,57.2016,7.38,28.73,16.59
7/7/2025 03:00,2.47,57.5022,6.86,28.73,16.53
7/7/2025 04:00,2.48,65.6415,6.21,,
7/7/2025 05:00,2.48,111.826,6.03,28.73,16.5
7/7/2025 06:00,2.29,173.449,5.88,28.74,16.24
7/7/2025 07:00,2.4,199.175,4.1,28.8,15.84
7/7/2025 08:00,2.27,147.03,4.88,28.79,15.86
7/7/2025 09:00,2.26,50.4185,4.56,28.77,16.52
7/7/2025 10:00,2.31,75.977,3.57,28.77,16.59
7/7/2025 11:00,2.22,97.6092,4.03,28.79,16.25
7/7/2025 12:00,2.15,60.5168,7.91,28.8,16.39
7/7/2025 13:00,2.47,119.11,8.43,28.82,16.52
7/7/2025 14:00,2.47,35.4103,9.7,28.89,16.69
7/7/2025 15:00,2.46,98.8132,9.68,28.84,16.72
7/7/2025 16:00,2.48,109.949,10.05,28.83,16.74
7/7/2025 17:00,2.22,154.704,8.59,28.85,16.55
7/7/2025 18:00,2.21,179.559,7.79,28.87,16.46
7/7/2025 19:00,2.22,122.168,6.79,28.89,16.26
7/7/2025 20:00,2.16,148.734,6.81,28.89,16.2
7/7/2025 21:00,2.26,55.4138,5.95,28.88,16.22
7/7/2025 22:00,2.33,71.5173,6.83,28.88,16.3
7/7/2025 23:00,2.26,160.56,6.89,28.94,16.25
7/8/2025 00:00,2.23,179.006,6.72,28.88,16.3
7/8/2025 01:00,2.57,139.816,7.78,28.96,16.62
7/8/2025 02:00,2.58,133.034,7.97,28.99,16.57
7/8/2025 03:00,2.46,83.2054,7.62,28.97,16.54
7/8/2025 04:00,2.65,95.351,7.48,,
7/8/2025 05:00,2.55,69.7617,6.8,29.19,16.55
7/8/2025 06:00,2.42,135.158,7.52,29.19,16.39
7/8/2025 07:00,2.4,171.293,4.9,29.22,16.22
7/8/2025 08:00,2.32,185.338,5.64,29.22,16.19
7/8/2025 09:00,2.18,123.512,3.41,29.24,16.18
7/8/2025 10:00,2.23,10.2686,3.48,29.32,16.69
7/8/2025 11:00,,,,,
7/8/2025 12:00,,,,,
7/8/2025 13:00,,,,,
7/8/2025 14:00,,,,,
7/8/2025 15:00,,,,,
7/8/2025 16:00,,,,,
7/8/2025 17:00,,,,,
7/8/2025 18:00,,,,,
7/8/2025 19:00,,,,,
7/8/2025 20:00,,,,,
7/8/2025 21:00,,,,,
7/8/2025 22:00,,,,,
7/8/2025 23:00,,,,,
7/9/2025 00:00,,,,,
7/9/2025 01:00,,,,,
7/9/2025 02:00,,,,,
7/9/2025 03:00,,,,,
7/9/2025 04:00,,,,,
7/9/2025 05:00,,,,,
7/9/2025 06:00,,,,,
7/9/2025 07:00,,,,,
7/9/2025 08:00,,,,,
7/9/2025 09:00,,,,,
7/9/2025 10:00,,,,,
7/9/2025 11:00,1.19,58.1975,10.14,28.94,16.85
7/9/2025 12:00,1.21,72.8781,10.3,29.1,16.53
7/9/2025 13:00,1.36,144.794,7.78,29.01,16.75
7/9/2025 14:00,1.27,157.126,14.28,29,17.52
7/9/2025 15:00,1.24,59.9231,13.2,28.99,17.42
7/9/2025 16:00,1.35,51.9736,10.45,29.02,16.99
7/9/2025 17:00,1.31,1.49071,11.43,28.99,17.31
7/9/2025 18:00,1.22,118.324,12.28,29,17.2
7/9/2025 19:00,1.29,190.128,11.16,28.97,16.71
7/9/2025 20:00,1.26,218.037,10.95,29.4,15.78
7/9/2025 21:00,1.22,283.964,9.86,29.01,17.29
7/9/2025 22:00,1.12,197.53,7.73,28.86,17.02
7/9/2025 23:00,1.04,114.074,7.29,28.82,16.95
7/10/2025 00:00,1.04,91.5024,7.18,28.88,16.49
7/10/2025 01:00,1.23,255.44,9.15,29.11,16.4
7/10/2025 02:00,1.16,156.085,8.56,28.96,16.39
7/10/2025 03:00,1.17,53.4574,8.37,28.93,16.7
7/10/2025 04:00,1.2,55.6539,8.56,,
7/10/2025 05:00,1.5,161.344,9.95,28.98,16.42
7/10/2025 06:00,1.36,102.842,10.28,29,16.58
7/10/2025 07:00,1.37,146.52,11.68,28.99,16.56
7/10/2025 08:00,1.14,258.408,10.12,28.95,16.4
7/10/2025 09:00,1.22,201.581,11.23,28.94,16.5
7/10/2025 10:00,1.14,168.517,9.29,28.9,16.42
7/10/2025 11:00,1.09,133.989,8.28,28.89,16.43
7/10/2025 12:00,1.1,45.8987,8.65,28.93,16.34
7/10/2025 13:00,1.13,82.5608,9.16,28.83,16.51
7/10/2025 14:00,1.27,183.279,9.06,29,15.99
7/10/2025 15:00,1.35,42.7554,16.11,28.99,16.57
7/10/2025 16:00,1.21,102.395,11.09,28.97,16.48
7/10/2025 17:00,1.34,72.2746,10.17,29.03,15.79
7/10/2025 18:00,1.13,53.7342,12.38,28.99,16.46
7/10/2025 19:00,1.33,201.568,14.28,29.08,16.25
7/10/2025 20:00,1.24,183.286,11.08,28.94,16.62
7/10/2025 21:00,1.14,242.493,8.79,28.73,16.22
7/10/2025 22:00,1.2,226.628,9.1,28.7,15.85
7/10/2025 23:00,1.22,195.504,9.02,28.73,15.89
7/11/2025 00:00,1.18,109.53,8.51,28.67,15.6
7/11/2025 01:00,1.28,64.4673,8.68,28.65,15.65
7/11/2025 02:00,1.36,141.52,12.34,28.82,15.6
7/11/2025 03:00,1.24,133.175,9.51,28.81,15.76
7/11/2025 04:00,1.28,72.3543,8.49,,
7/11/2025 05:00,1.22,61.8369,8.38,28.77,15.9
7/11/2025 06:00,1.43,107.735,10.91,28.98,15.83
7/11/2025 07:00,1.26,116.428,9.06,28.9,15.89
7/11/2025 08:00,1.32,168.408,10.15,28.96,15.67
7/11/2025 09:00,1.27,194.965,7.87,28.74,15.82
7/11/2025 10:00,1.29,230.146,6.45,28.51,15.35
7/11/2025 11:00,1.2,241.967,4.86,28.65,15.37
7/11/2025 12:00,1.28,175.278,5.46,28.47,15.35
7/11/2025 13:00,1.29,77.1452,4.16,28.26,15.3
7/11/2025 14:00,1.28,81.8136,5.73,28.31,15.3
7/11/2025 15:00,1.21,80.6643,5.85,28.47,15.68
7/11/2025 16:00,1.29,54.737,12.07,28.48,15.89
7/11/2025 17:00,1.27,42.4464,10.48,28.68,15.84
7/11/2025 18:00,1.18,45.4997,11,28.64,15.87
7/11/2025 19:00,1.3,99.5742,10.98,28.68,15.73
7/11/2025 20:00,1.31,146.718,10.27,28.57,15.94
7/11/2025 21:00,1.28,220.904,8.44,28.18,15.73
7/11/2025 22:00,1.39,297.29,7.4,28.16,15.25
7/11/2025 23:00,1.53,291.715,8.86,27.88,14.8
7/12/2025 00:00,1.53,188.84,9.14,27.85,14.6
7/12/2025 01:00,1.54,53.3937,9.15,27.83,14.59
7/12/2025 02:00,1.44,129.447,9.49,27.78,14.82
7/12/2025 03:00,1.46,212.874,8.47,27.98,14.78
7/12/2025 04:00,1.42,233.764,9.02,,
7/12/2025 05:00,1.44,53.0495,8.42,28.33,15.08
7/12/2025 06:00,1.43,24.9293,9.01,28.1,15.22
7/12/2025 07:00,1.42,49.4964,9.77,28.17,15.15
7/12/2025 08:00,1.38,120.631,9.64,28.25,15.26
7/12/2025 09:00,1.35,144.638,11.75,28.25,15.32
7/12/2025 10:00,1.32,215.63,11.35,28.27,15.52
7/12/2025 11:00,1.41,221.702,5.56,28,14.79
7/12/2025 12:00,1.47,221.562,6.59,27.6,15.01
7/12/2025 13:00,1.59,178.723,7.74,27.49,15.13
7/12/2025 14:00,1.61,51.0392,11.16,27.61,14.83
7/12/2025 15:00,1.44,32.0525,12.4,27.69,14.97
7/12/2025 16:00,1.49,88.2196,12.36,27.78,15.28
7/12/2025 17:00,1.44,13.9563,13.04,28.14,15.31
7/12/2025 18:00,1.4,61.7747,12.07,28.24,15.34
7/12/2025 19:00,1.44,84.1799,9.09,28.1,15.38
7/12/2025 20:00,1.49,115.82,9.23,28.05,15.44
7/12/2025 21:00,1.48,166.074,7.86,27.85,15.52
7/12/2025 22:00,1.59,216.37,6.84,27.41,15.47
7/12/2025 23:00,1.58,159.495,6.87,27.57,15.25
7/13/2025 00:00,1.57,181.299,6.56,27.58,15.29
7/13/2025 01:00,1.54,144.915,6.78,27.61,15.14
7/13/2025 02:00,1.55,38.8462,7.75,27.69,14.99
7/13/2025 03:00,1.54,58.8333,8.47,27.76,15.21
7/13/2025 04:00,1.53,153.935,7.93,,
7/13/2025 05:00,1.49,196.094,8.37,28.11,15.46
7/13/2025 06:00,1.49,61.5666,9.29,27.98,15.34
