"year","sets","catch","cpue"
2014,69,619,8.97101449275362
2015,87,549,6.31034482758621
2016,71,484,6.8169014084507
2017,59,209,3.54237288135593
2018,41,205,5
2019,11,19,1.72727272727273
2020,71,297,4.1830985915493
2021,66,303,4.59090909090909
2022,80,856,10.7
2023,110,764,6.94545454545455
2024,114,452,3.96491228070175
2025,145,466,3.21379310344828
